member_sha256,component_group,member_path,scenario_member_count,member_bytes,component_gzip_bytes,component_parts
1c9ebe22418924b49ac565307eaee9346dbbfd8393b203b5252710c6912f2dc7,1c9ebe22418924b4,stop_times.txt,1,290248837,42624277,data/scenario_gtfs_components/1c9ebe22418924b4/stop_times.txt.gz.part01
1e0dd1f2e15e7a3eb55d59daae3864ac632e4e73f231f5b755abda39961a152b,1e0dd1f2e15e7a3e,stop_times.txt,1,399997391,48142269,data/scenario_gtfs_components/1e0dd1f2e15e7a3e/stop_times.txt.gz.part01
23da8bf7dfe910375aec6b69b5d666dc35c6233df41762db224b1f61764a4d6e,23da8bf7dfe91037,stop_times.txt,1,290038847,42610010,data/scenario_gtfs_components/23da8bf7dfe91037/stop_times.txt.gz.part01
262ad41df373e654e3e9ac78bd7da278f00c8edbc0988249021c3e8551b502f7,262ad41df373e654,stop_times.txt,1,290150697,42614940,data/scenario_gtfs_components/262ad41df373e654/stop_times.txt.gz.part01
30a3a0484a1b34190c1695d649700da8466ba2f7b094879074ae93e42c8cc6bb,30a3a0484a1b3419,stop_times.txt,1,290120691,42621458,data/scenario_gtfs_components/30a3a0484a1b3419/stop_times.txt.gz.part01
3f6f0e423e696a140e10746651ac8b0c74140873129b7c57319f9b73cd61afe9,3f6f0e423e696a14,stop_times.txt,1,290248171,42623996,data/scenario_gtfs_components/3f6f0e423e696a14/stop_times.txt.gz.part01
4aceea3628328cd98507cdde601a347f77c1728c930e353f11309307672feca9,4aceea3628328cd9,stop_times.txt,1,290094041,42617826,data/scenario_gtfs_components/4aceea3628328cd9/stop_times.txt.gz.part01
6548039d1dea098c40b9ac5d1f1e693ccf27c02407d0d6ce4d0cdf2a6f70e462,6548039d1dea098c,stop_times.txt,1,290048655,42613041,data/scenario_gtfs_components/6548039d1dea098c/stop_times.txt.gz.part01
689619b2b553423b72475c4813a9fef6ab479b833e4dd5545ff88769eeceff71,689619b2b553423b,stop_times.txt,1,290199767,42618051,data/scenario_gtfs_components/689619b2b553423b/stop_times.txt.gz.part01
6f30bd305544cee7f74d3c666d0c7aaf00ec69884abc3c6e837d19512a8914d6,6f30bd305544cee7,stop_times.txt,1,290038847,42610208,data/scenario_gtfs_components/6f30bd305544cee7/stop_times.txt.gz.part01
79950142414c71f189a66308627235fd932ec75231992135a29928145403a11b,79950142414c71f1,stop_times.txt,1,291551174,42746762,data/scenario_gtfs_components/79950142414c71f1/stop_times.txt.gz.part01
7df1fbf202aa356f11d2aaf125804492aa7eaa0fb2e45b861bd1079e2e73b6a9,7df1fbf202aa356f,stop_times.txt,1,290118935,42620710,data/scenario_gtfs_components/7df1fbf202aa356f/stop_times.txt.gz.part01
7fb141f5e79ed15cdc76c3b2dca202574905be9e2414153ba7ee1fb5f2684ea8,7fb141f5e79ed15c,stop_times.txt,1,290273774,42626541,data/scenario_gtfs_components/7fb141f5e79ed15c/stop_times.txt.gz.part01
a35e5896244d81c868c20e78df769a05610ec59724706214bc596509ecb36578,a35e5896244d81c8,stop_times.txt,1,290346279,42636578,data/scenario_gtfs_components/a35e5896244d81c8/stop_times.txt.gz.part01
bf64220af19d91e2d6da02678a0caf35d87964eaf7e591f1c95133953ba007c1,bf64220af19d91e2,stop_times.txt,1,290022005,42608284,data/scenario_gtfs_components/bf64220af19d91e2/stop_times.txt.gz.part01
c1b447e32893fbca0ec70a246a5ca19c632cd7381da268db9824d8287448d6c8,c1b447e32893fbca,stop_times.txt,1,290102871,42619416,data/scenario_gtfs_components/c1b447e32893fbca/stop_times.txt.gz.part01
ec3fa16615993c3956371e60a611314e589dd3d8be14bb3f381ec38eb20c4ec4,ec3fa16615993c39,stop_times.txt,1,396970121,47920240,data/scenario_gtfs_components/ec3fa16615993c39/stop_times.txt.gz.part01
efdd6558ba8a3f762f4ff8f768450f78563aad7f2254bffc193a89e0db0a148e,efdd6558ba8a3f76,stop_times.txt,1,290273774,42627099,data/scenario_gtfs_components/efdd6558ba8a3f76/stop_times.txt.gz.part01
fd689ba353d09d805ff872c0d489355f52411cc2686834f2ca69dbb4338f5607,fd689ba353d09d80,stop_times.txt,1,290248503,42629788,data/scenario_gtfs_components/fd689ba353d09d80/stop_times.txt.gz.part01
194573854506133845d7b5496e630c96c89061ae47ca48b516692369577ce4ee,1945738545061338,stops.txt,1,16141253,4483745,data/scenario_gtfs_components/1945738545061338/stops.txt.gz.part01
3c47777e3d61bc894b19c091b668b4e8171530abf2e6f0b1591e0d5e9b98b52f,3c47777e3d61bc89,stops.txt,1,16140329,4483548,data/scenario_gtfs_components/3c47777e3d61bc89/stops.txt.gz.part01
479435b4014527d707e95e943c148ec825f8e07a099c856bb5535be46a3a0902,479435b4014527d7,stops.txt,1,16143593,4484212,data/scenario_gtfs_components/479435b4014527d7/stops.txt.gz.part01
5d3a90a5c82917428f20daee044df9f486a1f7683af94265dafb5086ddb9c01e,5d3a90a5c8291742,stops.txt,1,16250930,4510999,data/scenario_gtfs_components/5d3a90a5c8291742/stops.txt.gz.part01
8319f580aaa91d48ef184fe1c0f532fb078f76470341a8203ec0b6a612c55b98,8319f580aaa91d48,stops.txt,1,16245643,4509938,data/scenario_gtfs_components/8319f580aaa91d48/stops.txt.gz.part01
993e50f066cb91493e091fe0d58964e3cf3411efb73ef7e6134b594f54fd687f,993e50f066cb9149,stops.txt,1,16145658,4484616,data/scenario_gtfs_components/993e50f066cb9149/stops.txt.gz.part01
b270d6b972a01766a0c95b2a3800f1f0e9e80f76b41f233c94273ab840c81018,b270d6b972a01766,stops.txt,1,16140568,4483608,data/scenario_gtfs_components/b270d6b972a01766/stops.txt.gz.part01
b36b87d3ac0c5c86f747b34cc2fb011a2b037317916de663f4ff97a7ea9205c5,b36b87d3ac0c5c86,stops.txt,1,16141717,4483829,data/scenario_gtfs_components/b36b87d3ac0c5c86/stops.txt.gz.part01
ba64ff480176a77fc9d7d07308a56ce00bdd8c82c7bc8ca4660e44fe968bdb5e,ba64ff480176a77f,stops.txt,1,16143820,4484300,data/scenario_gtfs_components/ba64ff480176a77f/stops.txt.gz.part01
da72da66748aad56ed21b87fe994ccb2e87f9bbf90058d31a352abf2c29fcb0a,da72da66748aad56,stops.txt,1,16142383,4484001,data/scenario_gtfs_components/da72da66748aad56/stops.txt.gz.part01
df836b6d56b3d30031eacb1c360de143a516c9ae284a849b7cbd65e8b49da574,df836b6d56b3d300,stops.txt,1,16141028,4483705,data/scenario_gtfs_components/df836b6d56b3d300/stops.txt.gz.part01
e36c6a38bf4b73efd262d48335431acd9172630491b25a2339e6ab26adb45905,e36c6a38bf4b73ef,stops.txt,1,16143050,4484131,data/scenario_gtfs_components/e36c6a38bf4b73ef/stops.txt.gz.part01
f2d8b650d695ace2b6ac01a991c30fc444cd306352ddb40b7a8b4bc5d67db0f4,f2d8b650d695ace2,stops.txt,1,16143006,4484131,data/scenario_gtfs_components/f2d8b650d695ace2/stops.txt.gz.part01
f59b0df0f0746d17c82752161d54cbf50aaf1cfecb685436750981ff8a07d7fa,f59b0df0f0746d17,stops.txt,1,16142211,4483948,data/scenario_gtfs_components/f59b0df0f0746d17/stops.txt.gz.part01
06d3b9e5e7f337f054267d29c90e9326e6dcaf8c801b61352f351d5de38d759a,06d3b9e5e7f337f0,trips.txt,1,24119822,1423223,data/scenario_gtfs_components/06d3b9e5e7f337f0/trips.txt.gz.part01
4b9fc995a4c7c9850c502b551e082fbcb4ace15d44b4ac601e026e5bf22e17d5,4b9fc995a4c7c985,trips.txt,1,24166752,1425248,data/scenario_gtfs_components/4b9fc995a4c7c985/trips.txt.gz.part01
fcffedd27ca037079268557225e6e50398a11bcf06d5e76dbb43949fedf7807b,fcffedd27ca03707,trips.txt,1,24197750,1426502,data/scenario_gtfs_components/fcffedd27ca03707/trips.txt.gz.part01
