num_opportunities,Base 30 Mins,30 Mins,Base 45 Mins,45 Mins,Base 60 Mins,60 Mins,TZ16_CODE,,TZ16_NAME,Tz16_Area
964,39832.54193,-1.22E-06,367446.4468,-3.54E-05,1229459.705,475.2824528,964,YES,Homebush West Public School,248440.5456
965,17946.22328,3.00E-06,147829.4874,1.39E-05,924957.8124,3690.037926,965,YES,Homebush Boys High School,382803.2204
966,26131.92132,-4.70E-06,188764.4045,4.16E-05,1056219.144,3673.179861,966,YES,Homebush Station_South,446590.4539
967,35399.70113,3.10E-06,283151.5521,1036.578405,1113002.758,-0.00033172,967,YES,Homebush_Parramatta Rd and Crane St,139223.9405
968,39253.08478,3.70E-06,491148.0535,271.104406,1193329.151,6294.175553,968,YES,Powells Creek,141406.6477
969,93465.79358,-3.46E-06,841825.4757,11436.98923,1504763.451,7509.356162,969,YES,Strathfield Station_North,163878.6773
970,150778.6139,1.16E-05,963034.5219,6338.85526,1582930.62,9273.488396,970,YES,St John Of God Hospital Burwood,235445.6988
971,99679.65768,4.74E-06,916183.5849,2640.819426,1558722.654,4986.045884,971,YES,Strathfield Station_South,70705.7051
972,10677.46171,-3.40E-06,72895.28443,4.38E-06,699151.1288,1609.498455,972,YES,St Patricks College,901608.2298
973,20651.81091,1.60E-06,208951.4775,-2.17E-05,1096784.194,475.2818819,973,YES,Strathfield Girls High School,573541.8492
974,53872.16381,-2.20E-06,728534.6395,5876.880187,1431634.64,7995.046538,974,YES,Strathfield_Saint Peter and Paul Cathedral,581261.3341
975,29532.68729,-1.70E-06,534582.1836,4014.583763,1214880.43,3823.861335,975,YES,Santa Sabina College,262502.5912
976,2113.309602,0.00E+00,13759.99125,9.00E-07,74366.28537,-1.32E-06,976,YES,Strathfield_Australia Post Letter Centre,446873.1917
977,10954.87923,-3.60E-06,92666.54133,-4.79E-06,827430.6006,843.5192921,977,YES,Chalmers Rd School,518717.0111
978,3082.518626,4.00E-07,47298.88535,-4.00E-06,441928.9163,6141.017278,978,YES,Strathfield South High School,916381.3426
979,22360.2746,4.00E-07,305439.6761,4070.220282,1114099.999,1069.560102,979,YES,Strathfield_Kingsland Rd and Llandilo Av,493280.1745
980,30688.75731,-7.00E-07,350625.0985,-3.84E-05,1137815.531,475.281946,980,YES,Burwood_Emu St and Angel Rd,249419.6375
981,9729.719471,1.00E-07,96835.99875,4.41E-06,801889.1549,843.5192343,981,YES,Strathfield_Wallis Rd and Augusta St,555786.4694
982,23459.46316,-2.50E-06,169173.0109,-3.51E-05,1008634.853,1762.086893,982,YES,Strathfield South Primary School,471142.047
