num_opportunities,EMP_2016,ERP_2016,,
251,720384.8038,3283.828509,5.15E+02,
252,626661.264,1812.468904,2.47E+02,
253,678978.6476,2197.184302,3.25E+02,
254,900877.5377,755.8512121,1.48E+02,
255,840665.8768,1102.50463,2.02E+02,
256,793542.7797,1326.111275,2.29E+02,
257,745329.0397,1462.122678,2.37E+02,
258,806926.6096,2632.802691,4.63E+02,
259,751085.2065,1728.913998,2.83E+02,
260,719881.798,1491.125109,2.34E+02,
261,658031.5517,2561.214821,3.67E+02,
262,720876.8061,1202.100878,1.89E+02,
263,631301.7089,9.96E-05,1.37E-05,
264,825189.862,9.96E-05,1.79E-05,
265,596238.7338,30.00261394,3.89E+00,
266,563705.1588,9.96E-05,1.22E-05,
267,559051.3669,780.0654966,9.50E+01,
268,778677.2835,1428.763101,2.42E+02,
270,892077.0812,2268.788629,4.41E+02,
271,846914.1248,1856.692116,3.42E+02,
272,717909.4253,686.927444,1.07E+02,
273,712261.5601,4770.646254,7.40E+02,
274,836929.5922,1222.797266,2.23E+02,
275,790678.6186,674.8881531,1.16E+02,
276,666701.7247,2632.172885,3.82E+02,
277,801619.9024,1461.757628,2.55E+02,
278,658944.2091,3054.493426,4.38E+02,
279,861999.4817,0.00010416,1.95E-05,
280,612531.9185,3371.402158,4.50E+02,
281,732244.7344,1027.829607,1.64E+02,
282,582344.1257,1062.217232,1.35E+02,
283,745106.8474,1100.8175,1.79E+02,
284,736646.9522,1099.528193,1.76E+02,
285,685853.3628,711.1931635,1.06E+02,
286,522856.0922,2441.284112,2.78E+02,
287,641568.7532,948.8427096,1.33E+02,
288,540806.3478,879.5960968,1.04E+02,
289,512250.7009,612.2937588,6.83E+01,
290,417972.8476,1100.8175,1.00E+02,
291,879699.4991,299.9559998,5.75E+01,
292,812657.8774,440.2949646,7.79E+01,
300,389028.5244,2314.259039,1.96E+02,
301,218796.4788,1937.487865,9.23E+01,
302,193203.0752,2710.028616,1.14E+02,
303,451695.0152,1163.285346,1.14E+02,
304,510887.7776,3039.444658,3.38E+02,
305,706445.82,972.8453837,1.50E+02,
306,419269.6586,1454.954356,1.33E+02,
307,664353.3186,1460.411786,2.11E+02,
308,575756.9428,2252.709441,2.82E+02,
309,851979.9912,569.5424829,1.06E+02,
310,672761.1107,1638.367218,2.40E+02,
311,141792.0865,3660.466096,1.13E+02,
312,401609.947,1326.557155,1.16E+02,
313,625074.6776,843.3960704,1.15E+02,
314,648322.3453,1603.046017,2.26E+02,
315,652457.196,976.1984711,1.39E+02,
316,638829.3262,2212.493286,3.08E+02,
317,700121.3427,3747.431467,5.71E+02,
318,651364.1966,873.2912473,1.24E+02,
319,774388.0753,2531.495244,4.27E+02,
320,746860.3444,2761.25553,4.49E+02,
321,678172.2002,3540.694784,5.23E+02,
322,650238.2774,1139.380745,1.61E+02,
323,527641.5798,1543.49496,1.77E+02,
324,545807.5821,1560.230556,1.85E+02,
325,606327.8426,1432.232182,1.89E+02,
328,772951.0233,1166.549497,1.96E+02,
329,685231.9458,2122.310797,3.17E+02,
330,356125.4005,36.85161292,2.86E+00,
331,865429.8265,2544.359715,4.79E+02,
332,287351.7504,4.747803802,2.97E-01,
333,758637.5411,1652.965387,2.73E+02,
334,4382.132961,751.2151891,7.17E-01,
400,22073.35267,0.001344959,6.46E-06,
401,40494.64026,188.1542217,1.66E+00,
402,39094.8831,0.001344959,1.14E-05,
405,85669.99159,2458.01511,4.58E+01,
406,72883.65966,2875.215287,4.56E+01,
407,86269.52063,766.0710867,1.44E+01,
408,129200.4078,5026.932709,1.41E+02,
409,588320.5915,0.000103298,1.32E-05,
410,742590.8715,13.20672863,2.14E+00,
411,901882.0407,6396.306085,1.26E+03,
412,445178.9183,2923.389117,2.83E+02,
413,206215.3574,3968.416976,1.78E+02,
414,557503.9918,2752.859835,3.34E+02,
415,154224.3024,2832.582041,9.51E+01,
416,178038.6197,2871.996293,1.11E+02,
417,131403.2599,2999.378897,8.58E+01,
418,666642.7765,846.863926,1.23E+02,
420,474478.3846,1247.982619,1.29E+02,
421,91518.67134,1425.943213,2.84E+01,
422,103114.2077,2537.678521,5.70E+01,
423,85964.70335,8.76E-05,1.64E-06,
424,78252.28439,3075.033931,5.24E+01,
425,63420.36367,3570.361542,4.93E+01,
426,108573.0958,8.76E-05,2.07E-06,
428,35035.33831,1.942623951,1.48E-02,
429,35565.38638,1.942623951,1.50E-02,
430,11826.65479,1.942623951,5.00E-03,
433,742311.3885,28.34772823,4.58E+00,
434,484806.4364,27.43322096,2.90E+00,
435,9499.054547,8.43E-05,1.74E-07,
500,542329.8418,2118.3223,2.50E+02,
501,443977.6161,4160.293619,4.02E+02,
502,503379.4427,2877.416349,3.15E+02,
503,309658.237,3113.476976,2.10E+02,
504,300424.9295,3641.912196,2.38E+02,
505,331986.7277,3747.57856,2.71E+02,
508,176196.9308,4127.419959,1.58E+02,
509,93961.70367,3044.183114,6.23E+01,
510,92394.70698,4870.6753,9.80E+01,
511,431173.4846,4065.658178,3.82E+02,
512,316544.6471,2532.908966,1.75E+02,
513,172899.4762,2011.097504,7.57E+01,
514,281840.2469,2119.056979,1.30E+02,
517,844767.0265,789.276579,1.45E+02,
518,713471.5893,1007.119856,1.56E+02,
519,633013.3412,2080.351257,2.87E+02,
520,667620.0945,2383.700569,3.47E+02,
521,603252.9182,2291.915717,3.01E+02,
522,529601.3473,1967.840995,2.27E+02,
523,552725.9696,3279.019744,3.95E+02,
524,361121.7656,2702.023151,2.12E+02,
525,766297.9094,1559.752131,2.60E+02,
527,291962.0248,2.87702556,1.83E-01,
530,485692.2211,1538.118538,1.63E+02,
531,600001.222,2010.809879,2.63E+02,
532,505881.6933,2330.754603,2.57E+02,
533,409675.5365,2165.268005,1.93E+02,
534,731962.8689,1511.870197,2.41E+02,
535,590101.6247,868.6523493,1.12E+02,
536,639738.9578,492.0863265,6.85E+01,
537,802409.2028,1091.697457,1.91E+02,
538,408210.9667,1767.558827,1.57E+02,
539,884773.9143,1566.52546,3.02E+02,
540,222554.1952,2089.486246,1.01E+02,
541,694681.9719,1364.232267,2.06E+02,
542,474020.4629,1431.665336,1.48E+02,
543,313964.0881,1124.40323,7.69E+01,
544,310253.0069,1299.806394,8.78E+01,
545,504315.6136,3892.064883,4.27E+02,
548,34289.2754,3087.921967,2.31E+01,
549,36004.94314,3260.416726,2.56E+01,
550,96180.54888,3392.433596,7.10E+01,
551,34025.32045,1781.22771,1.32E+01,
554,611141.2849,163.8517859,2.18E+01,
555,687591.768,1897.676492,2.84E+02,
556,779965.0996,1619.075333,2.75E+02,
557,660022.7182,2693.797695,3.87E+02,
558,699025.6445,2634.967264,4.01E+02,
559,779948.7172,1207.292551,2.05E+02,
560,634570.8102,159.2700973,2.20E+01,
561,659407.0154,1552.136504,2.23E+02,
562,697337.6709,1558.450175,2.37E+02,
563,748919.6591,222.0617395,3.62E+01,
564,603815.8468,2536.982929,3.34E+02,
565,680613.8181,0.000103157,1.53E-05,
566,707490.8363,0.000103157,1.59E-05,
567,583463.1878,34.56020565,4.39E+00,
570,10352.75193,899.343123,2.03E+00,
571,32003.19624,1877.192457,1.31E+01,
572,33929.63133,1662.924016,1.23E+01,
573,53973.09356,2091.703634,2.46E+01,
574,146466.7799,3546.087232,1.13E+02,
575,15778.73962,2492.749538,8.56E+00,
577,583245.8705,2646.404527,3.36E+02,
578,633523.5325,3113.072967,4.29E+02,
579,725873.6898,1503.44136,2.38E+02,
580,608110.0942,794.0811464,1.05E+02,
