num_opportunities,Base 30 Mins,30 Mins,Base 45 Mins,45 Mins,Base 60 Mins,60 Mins,TZ16_CODE,,TZ16_NAME,Tz16_Area
64,279396.8028,25674.98807,633036.0306,89851.78505,1100057.082,79498.01702,64,YES,Mrs Macquaries Chair,143531.9027
65,532611.4329,16286.51352,938933.3424,22401.13892,1367756.414,11835.67654,65,YES,Sydney CBD_King St Wharf_Southern End,14395.44479
66,553286.8459,10885.15795,975253.5638,28598.198,1406559.626,10326.95559,66,YES,Sydney CBD_Slip St,16475.59194
67,595570.2941,6867.478602,1045099.18,24872.15875,1474977.254,8871.530501,67,YES,Sydney CBD_Lumley House,19926.0001
68,624702.1311,14077.13636,1095124.871,17487.79323,1511831.546,11801.8511,68,YES,Sydney CBD_Red Cross House,14129.87804
69,649439.5988,18006.74994,1110700.026,19779.02872,1540817.677,11445.35618,69,YES,Sydney CBD_AWA Building,8170.834637
70,618703.3539,12002.61867,1085522.959,16878.05348,1497735.829,11445.35628,70,YES,Barrack St and York St,7780.211811
71,662425.1484,28667.56372,1146003.065,21244.05368,1563460.039,11582.40253,71,YES,Centenary Square,7520.760436
72,624109.8986,18734.09347,1119524.284,19480.44467,1513477.7,9492.687928,72,YES,Centenary Square and George,10913.76096
73,643838.2046,25639.94558,1140932.058,15753.43489,1544322.327,10190.91599,73,YES,Sydney CBD_No.1 Martin Place,24095.53391
74,653928.6428,13840.55812,1127760.981,13182.50316,1530798.898,7650.63707,74,YES,MLC Centre Sydney,19218.99924
75,661320.9548,13996.03496,1129542.238,15711.20226,1519406.298,5786.867206,75,YES,Martin Place and Elizabeth St,10794.63396
76,675412.0045,12767.01446,1141519.424,8798.743603,1523316.943,4822.449802,76,YES,Martin Place and Phillip St,9440.499185
77,696186.7067,26323.24597,1136004.969,27412.25137,1508295.597,36938.80017,77,YES,Martin Place Station,14175.2392
78,559522.715,60748.84828,994268.0513,85397.05457,1407068.567,46440.16578,78,YES,Star City_Pyrmont Bay Ferry Wharf,22341.37156
79,539763.7072,8858.105682,972729.844,12355.32175,1384357.105,7618.634331,79,YES,Sydney Aquarium,42496.50077
80,574092.8542,1028.976519,1013672.069,4158.521276,1412382.041,6163.208669,80,YES,Allianz Centre,22366.29744
81,601412.6483,2560.359386,1047764.909,13811.43873,1457872.292,8688.246139,81,YES,King St and Clarence St,15089.06279
82,628226.8848,640.0480996,1084681.236,13928.48589,1514196.944,6822.049089,82,YES,Westpac Building,16846.33276
83,622301.3076,6167.444462,1091641.63,15360.04212,1493463.81,10300.63715,83,YES,King St and George St,17061.28475
84,635368.8418,5329.99387,1119773.269,12159.33331,1522926.388,7809.335615,84,YES,Sydney CBD_Strand Arcade,16576.71142
85,643156.7817,2957.428235,1110231.675,12790.21912,1501429.264,4386.440208,85,YES,Sydney CBD_Centrepoint,15275.41577
86,664435.1375,18921.46242,1086262.635,34401.58731,1481142.299,20935.12529,86,YES,David Jones_Elizabeth Street,12122.55966
87,681737.1961,25896.90314,1109749.132,43561.85804,1487923.725,39125.72188,87,YES,Law Courts Building Sydney,11853.1391
88,540322.3715,39141.65385,948476.539,73717.68833,1376484.825,48131.85905,88,YES,"Darling Harbour_Novotel, Grand Mercure, Ibis",39939.40502
89,500885.0621,28103.08856,935810.1077,16497.70189,1341063.328,17519.91529,89,YES,Harbourside_Darling Harbour,93823.6793
90,536905.2144,4948.404118,978755.5809,5080.414906,1357029.52,7164.046765,90,YES,Cockle Bay Wharf,12729.91793
91,507687.767,11603.72506,941994.5848,11141.75911,1336454.125,8727.777172,91,YES,Cockle Bay Wharf_East,28385.95123
92,627792.0721,1.96E-05,1066481.791,4158.52146,1439412.078,4113.727455,92,YES,Market St and Kent St,18947.31594
93,670392.4284,3.58E-05,1110217.61,8888.32967,1503735.468,4340.049788,93,YES,Market St and Clarence St,12537.29958
94,694974.4536,-2.03E-05,1127144.403,4468.998333,1508664.743,4340.050083,94,YES,Market St and York St,15443.30979
95,709154.7273,553.0987017,1158650.752,5874.118482,1536501.467,4340.050214,95,YES,Queen Victoria Building,11986.26124
96,703359.3441,-2.10E-05,1127704.296,5461.570621,1500351.817,4340.049748,96,YES,Sydney CBD_Galeries Victoria,28064.59261
97,659982.8692,10587.4957,1110761.828,15471.07383,1479301.534,4223.82572,97,YES,Piccadilly Arcade,28769.26751
98,672796.6858,6208.779158,1135278.43,7882.88553,1479775.085,12325.15099,98,YES,Sheraton On The Park,19184.57676
99,579723.3555,84414.33018,975062.1668,145045.4576,1368198.202,121740.803,99,YES,St. Mary's Cathedral,20220.24647
100,539643.7119,131258.586,936152.218,164283.9301,1327589.437,138228.9379,100,YES,Art Gallery Of NSW,186788.4385
101,629217.792,2.85E-05,1046674.302,4158.520615,1429219.131,4113.726729,101,YES,Darling Harbour_Crown Plaza Hotel,15834.87293
102,642977.1416,510.7633763,1093102.549,8888.329456,1464864.883,4340.050285,102,YES,Druitt St and Kent St,13826.33208
103,738848.3426,8.43E-06,1185230.487,4707.042628,1552085.429,4340.049516,103,YES,Sydney CBD_Sydney Town Hall,26694.84618
104,774605.9852,-2.12E-05,1185163.237,4707.042291,1567817.226,1414.269242,104,YES,Town Hall Station,16072.83088
105,748468.6536,-2.95E-06,1201405.094,5461.570152,1543798.993,3348.846304,105,YES,Sydney CBD_Defence Plaza,14487.8945
106,709353.1683,9.18E-06,1132742.759,5108.945166,1490605.067,2902.528128,106,YES,Park St and Elizabeth St,9942.012928
