num_opportunities,EMP_2016,L2&L3,Marginal,Base,Net to Base,ERP,,
99,580276.4541,579723.3555,553.0986407,579723.3555,553.0986407,25.07363012,3.17E+00,
100,540256.9519,539643.7119,613.2400102,539643.7119,613.2400102,17.63874771,2.07E+00,
101,632763.0301,629217.792,3545.238061,629217.792,3545.238061,135.3819332,1.87E+01,
102,643977.5469,642977.1416,1000.405341,642977.1416,1000.405341,287.0059773,4.02E+01,
103,739401.4413,738848.3426,553.0986615,738848.3426,553.0986615,40.31551903,6.49E+00,
104,774937.7316,774605.9852,331.7463705,774605.9852,331.7463705,51.9605084,8.77E+00,
105,748915.9603,748468.6536,447.3066641,748468.6536,447.3066641,765.564986,1.25E+02,
106,709353.1683,709353.1683,9.18E-06,709353.1683,9.18E-06,0.00010299,1.59E-05,
107,681985.8491,681985.8491,-6.64E-06,681985.8491,-6.64E-06,18.86468334,2.80E+00,
108,481795.3059,479547.3153,2247.990587,479547.3153,2247.990587,3.8538967,4.04E-01,
109,607962.9219,606152.3387,1810.583231,606152.3387,1810.583231,1615.752238,2.14E+02,
110,636788.2021,635787.7968,1000.405316,635787.7968,1000.405316,2041.139664,2.83E+02,
111,705842.6596,705289.561,553.0986125,705289.561,553.0986125,819.0363561,1.26E+02,
112,747475.0647,746292.4009,1182.663761,746292.4009,1182.663761,0.00010299,1.68E-05,
113,699229.3081,699229.3081,-4.50E-05,699229.3081,-4.50E-05,725.5933355,1.10E+02,
114,646646.7167,646199.4101,447.3066426,646199.4101,447.3066426,97.40837708,1.37E+01,
115,679966.5086,679966.5086,-7.74E-06,679966.5086,-7.74E-06,543.2621322,8.04E+01,
116,695264.4258,695264.4258,-3.35E-05,695264.4258,-3.35E-05,191.8006225,2.90E+01,
117,587047.8587,584761.9934,2285.865303,584761.9934,2285.865303,1096.877077,1.40E+02,
118,634007.0629,632272.4081,1734.654819,632272.4081,1734.654819,1537.346575,2.12E+02,
119,665347.5205,663612.8656,1734.654856,663612.8656,1734.654856,1733.533719,2.51E+02,
120,665321.0164,663586.3616,1734.654816,663586.3616,1734.654816,402.6870641,5.83E+01,
121,679236.8402,679236.8402,-5.84E-06,679236.8402,-5.84E-06,0.00010299,1.52E-05,
122,675339.836,668175.5527,7164.283327,668175.5527,7164.283327,725.7637604,1.07E+02,
123,633884.7288,626318.1718,7566.557038,626318.1718,7566.557038,267.1532931,3.69E+01,
124,633049.6546,614657.8192,18391.83538,614657.8192,18391.83538,616.9085712,8.50E+01,
125,550322.4281,549709.1881,613.2400058,549709.1881,613.2400058,32.23551107,3.86E+00,
126,578684.8078,577774.506,910.3018391,577774.506,910.3018391,124.2987941,1.57E+01,
127,617599.9785,617046.8799,553.0986098,617046.8799,553.0986098,26.36346757,3.55E+00,
128,639722.4425,637911.8593,1810.583184,637911.8593,1810.583184,2.925833985,4.08E-01,
129,657035.1719,654747.4184,2287.753479,654747.4184,2287.753479,47.58518228,6.81E+00,
130,639290.6589,639290.6589,3.94E-05,639290.6589,3.94E-05,988.8130299,1.38E+02,
131,625687.5547,616418.236,9269.318699,616418.236,9269.318699,3289.806615,4.48E+02,
132,649029.4049,642089.0193,6940.385564,642089.0193,6940.385564,29.92842902,4.23E+00,
133,645862.7234,645309.6247,553.0986857,645309.6247,553.0986857,8.728155037,1.23E+00,
134,677362.096,677362.096,-2.10E-05,677362.096,-2.10E-05,38.0301172,5.61E+00,
135,619672.8117,617862.2285,1810.583245,617862.2285,1810.583245,981.5520766,1.32E+02,
136,489724.4665,487476.476,2247.990514,487476.476,2247.990514,681.8316237,7.27E+01,
137,619672.8117,617862.2285,1810.583245,617862.2285,1810.583245,0.405635506,5.47E-02,
138,685536.7827,684073.3822,1463.400507,684073.3822,1463.400507,10.63032909,1.59E+00,
139,662741.5737,661278.1732,1463.400499,661278.1732,1463.400499,0.00010299,1.49E-05,
140,624075.2142,617134.8287,6940.385513,617134.8287,6940.385513,0.00010299,1.40E-05,
141,588687.0231,588073.7831,613.239993,588073.7831,613.239993,15.2984667,1.96E+00,
142,657016.6015,654730.7362,2285.865285,654730.7362,2285.865285,365.1748832,5.22E+01,
143,697500.7868,697500.7868,-2.13E-05,691644.6044,5856.182379,0.00010299,1.56E-05,
144,589337.8661,589337.8661,-4.73E-05,589337.8661,-4.73E-05,1119.399227,1.44E+02,
145,695087.511,695087.511,-1.21E-05,695087.511,-1.21E-05,56.6822071,8.58E+00,
146,757147.877,757147.877,3.96E-05,757147.877,3.96E-05,140.1721887,2.31E+01,
147,16745.5369,16745.5369,1.60E-06,16745.5369,1.60E-06,0.00010299,3.76E-07,
148,83546.30351,83546.30351,-4.42E-06,83546.30351,-4.42E-06,0.00010299,1.87E-06,
149,535768.8009,528047.9274,7720.873513,528047.9274,7720.873513,802.8836932,9.37E+01,
150,527241.3979,521584.0769,5657.320967,521584.0769,5657.320967,0.00010299,1.18E-05,
151,432540.6232,432159.6406,380.9825794,432159.6406,380.9825794,401.8165556,3.78E+01,
152,407131.117,407131.117,-3.75E-05,407131.117,-3.75E-05,3737.743639,3.31E+02,
153,479467.8574,478992.022,475.835363,478992.022,475.835363,1510.146795,1.58E+02,
154,585252.4314,577520.0185,7732.412878,577520.0185,7732.412878,1559.560076,1.99E+02,
155,507464.4423,507464.4423,-3.25E-05,507464.4423,-3.25E-05,943.8032282,1.04E+02,
156,461071.7162,461071.7162,-4.37E-05,461071.7162,-4.37E-05,3633.875283,3.65E+02,
157,428680.8886,428680.8886,4.63E-05,428680.8886,4.63E-05,3800.730356,3.55E+02,
158,402037.0128,402037.0128,3.48E-05,402037.0128,3.48E-05,3283.296511,2.87E+02,
159,491875.3943,491875.3943,-2.44E-05,491875.3943,-2.44E-05,1500.507026,1.61E+02,
160,553481.1527,552867.9127,613.2400141,552867.9127,613.2400141,875.2958609,1.05E+02,
161,677291.5036,676738.405,553.0986372,676738.405,553.0986372,106.3106535,1.57E+01,
162,664632.2862,664079.1875,553.0986821,664079.1875,553.0986821,156.4057365,2.26E+01,
163,102828.5062,102828.5062,4.91E-05,102828.5062,4.91E-05,4206.023084,9.42E+01,
164,245372.5065,245372.5065,1.80E-05,245372.5065,1.80E-05,400.996756,2.14E+01,
165,394722.2434,394722.2434,-1.61E-05,394722.2434,-1.61E-05,1920.097246,1.65E+02,
166,280782.9468,277078.3322,3704.61458,277078.3322,3704.61458,1941.237516,1.19E+02,
167,185835.6021,185414.2069,421.3952115,185414.2069,421.3952115,3317.857257,1.34E+02,
168,548999.2747,548999.2747,3.71E-06,548999.2747,3.71E-06,962.3629579,1.15E+02,
169,477002.7311,477002.7311,-1.97E-05,477002.7311,-1.97E-05,988.023129,1.03E+02,
170,489271.7854,489271.7854,1.52E-05,489271.7854,1.52E-05,1398.124242,1.49E+02,
171,532755.7931,532755.7931,-3.46E-05,532755.7931,-3.46E-05,2755.475013,3.20E+02,
172,450180.6451,450180.6451,-2.10E-05,450180.6451,-2.10E-05,855.8816531,8.39E+01,
173,324579.6651,320642.5594,3937.105702,320642.5594,3937.105702,4026.921145,2.85E+02,
174,648546.1624,648546.1624,-4.34E-06,648546.1624,-4.34E-06,0.00010299,1.45E-05,
175,481464.1347,481084.4472,379.6875427,481084.4472,379.6875427,416.7384014,4.37E+01,
176,592949.8239,586009.4383,6940.38555,586009.4383,6940.38555,396.9347117,5.12E+01,
177,621370.9192,614430.5337,6940.385525,614430.5337,6940.385525,431.3345821,5.84E+01,
178,543680.2431,543579.9625,100.2805907,543579.9625,100.2805907,1694.388197,2.01E+02,
179,494666.2238,494666.2238,2.94E-05,494666.2238,2.94E-05,2088.573095,2.25E+02,
180,388003.5332,388003.5332,-1.02E-05,388003.5332,-1.02E-05,3215.932292,2.72E+02,
181,559043.8386,554074.3813,4969.457273,554074.3813,4969.457273,154.03312,1.87E+01,
182,523289.154,520149.024,3140.130031,520149.024,3140.130031,1785.965084,2.03E+02,
183,430407.8317,419907.2677,10500.564,419907.2677,10500.564,559.8478427,5.25E+01,
184,534464.949,531156.7638,3308.185157,531156.7638,3308.185157,733.0218813,8.53E+01,
185,495386.354,441353.1774,54033.17656,441353.1774,54033.17656,765.2307928,8.25E+01,
186,404581.5077,404581.5077,4.95E-06,404581.5077,4.95E-06,1401.717228,1.23E+02,
187,531669.6778,531248.2825,421.3952875,531248.2825,421.3952875,463.5074394,5.37E+01,
188,591743.0064,579759.6883,11983.31806,579759.6883,11983.31806,2082.78879,2.68E+02,
189,588145.3448,573563.6181,14581.72665,573563.6181,14581.72665,335.5002462,4.30E+01,
190,539815.7936,532768.243,7047.550563,532768.243,7047.550563,18.65157149,2.19E+00,
191,519403.6924,514073.0498,5330.642579,514073.0498,5330.642579,276.4288708,3.13E+01,
192,650814.0179,643873.6323,6940.385553,643873.6323,6940.385553,779.0516504,1.10E+02,
193,541221.6946,539487.0398,1734.654787,539487.0398,1734.654787,1397.851554,1.65E+02,
194,745287.2469,745287.2469,1.53E-05,745287.2469,1.53E-05,0.058064883,9.42E-03,
195,617195.2054,617195.2054,-4.77E-05,617195.2054,-4.77E-05,768.4921023,1.03E+02,
196,468344.7926,439019.6337,29325.15891,439019.6337,29325.15891,2570.008504,2.62E+02,
197,745438.0355,744884.9369,553.0986095,744884.9369,553.0986095,596.508066,9.68E+01,
198,615962.2685,614151.6853,1810.583156,608295.5029,7666.765556,1190.290257,1.60E+02,
199,419798.5096,419798.5096,1.36E-05,419798.5096,1.36E-05,2572.946921,2.35E+02,
200,629711.4435,629711.4435,1.15E-06,629711.4435,1.15E-06,19.59265067,2.69E+00,
201,581496.5317,580883.2917,613.2400422,580883.2917,613.2400422,3319.60921,4.20E+02,
202,415699.413,415699.413,1.83E-05,415699.413,1.83E-05,1818.221543,1.65E+02,
205,564305.1819,563691.9419,613.2399815,563691.9419,613.2399815,1176.268199,1.45E+02,
206,473715.4366,470594.7031,3120.73354,470594.7031,3120.73354,3788.913002,3.91E+02,
207,334235.2435,334235.2435,1.57E-06,334235.2435,1.57E-06,3293.28886,2.40E+02,
208,640206.3077,639296.0059,910.3017842,639296.0059,910.3017842,0.000106658,1.49E-05,
209,416643.865,416643.865,2.43E-05,416643.865,2.43E-05,888.3124827,8.06E+01,
210,590325.7246,590325.7246,-5.21E-06,590325.7246,-5.21E-06,1051.113321,1.35E+02,
211,578887.4268,573895.9503,4991.476466,573895.9503,4991.476466,880.1982681,1.11E+02,
212,450404.786,450404.786,2.24E-05,450404.786,2.24E-05,2241.42511,2.20E+02,
213,421201.8302,421201.8302,3.08E-05,421201.8302,3.08E-05,732.4879464,6.72E+01,
214,263222.0435,263222.0435,1.07E-05,263222.0435,1.07E-05,1761.467124,1.01E+02,
215,687395.8545,685872.3126,1523.541866,685872.3126,1523.541866,1537.885857,2.30E+02,
216,395633.1338,395633.1338,1.75E-06,395633.1338,1.75E-06,178.2657128,1.54E+01,
217,519681.6792,517120.9486,2560.730604,517120.9486,2560.730604,422.0436021,4.78E+01,
218,432414.2607,432414.2607,-3.72E-05,432414.2607,-3.72E-05,1438.397717,1.35E+02,
219,433588.0272,433588.0272,-1.80E-05,433588.0272,-1.80E-05,1533.723374,1.45E+02,
220,324633.5448,324633.5448,-1.20E-05,324633.5448,-1.20E-05,880.3732715,6.22E+01,
221,143340.4475,143340.4475,-7.78E-06,143340.4475,-7.78E-06,1456.997777,4.55E+01,
222,434359.71,433501.2743,858.4356666,433501.2743,858.4356666,0.000106658,1.01E-05,
223,58253.43987,58253.43987,6.10E-07,58253.43987,6.10E-07,524.8379544,6.66E+00,
224,503984.7983,503984.7983,-1.33E-05,503984.7983,-1.33E-05,0.000106658,1.17E-05,
225,78841.58559,78841.58559,1.61E-06,78841.58559,1.61E-06,0.000106658,1.83E-06,
226,90553.53979,90553.53979,-1.95E-06,90553.53979,-1.95E-06,1780.474452,3.51E+01,
227,208498.3518,208498.3518,1.31E-05,208498.3518,1.31E-05,3008.323102,1.37E+02,
228,218467.3252,218467.3252,8.35E-06,218467.3252,8.35E-06,2692.316866,1.28E+02,
229,164668.5663,164668.5663,2.75E-05,164668.5663,2.75E-05,3334.655024,1.20E+02,
230,75715.34645,75715.34645,-2.48E-07,75715.34645,-2.48E-07,3590.056708,5.92E+01,
