num_opportunities,EMP_2016,T2&T3,Marginal,,Gains over Base,ERP,,
22,1410512.145,1410512.145,7.27E-05,1408220.392,2291.753073,0.00010299,3.16E-05,
23,1392028.459,1392028.459,-0.00035609,1391814.067,214.3916439,312.8469003,9.48E+01,
24,1322598.835,1322598.835,-0.00034559,1321500.506,1098.328654,181.1260925,5.22E+01,
25,1431011.946,1431011.946,0.0001469,1429100.459,1911.487147,7.067088463,2.20E+00,
26,1509892.374,1509892.374,0.00028609,1509892.374,0.00028609,6.464326556,2.13E+00,
27,1441501.417,1441501.417,-0.00023208,1439892.511,1608.905768,208.3514625,6.54E+01,
28,1454868.525,1454868.525,0.00046962,1452619.673,2248.85247,289.3970132,9.17E+01,
29,1500701.044,1500701.044,-0.00016752,1497092.192,3608.851832,0.642453825,2.10E-01,
30,1461407.489,1461407.489,-0.00042057,1459115.736,2291.752579,27.62682143,8.79E+00,
31,1453320.876,1453320.876,-0.00026491,1451409.389,1911.486735,16.333015,5.17E+00,
32,1476578.445,1476578.445,0.00012694,1475724.106,854.3391269,266.4666687,8.57E+01,
33,1434478.459,1434478.459,-0.00033742,1434478.459,-0.00033742,0.00010299,3.22E-05,
34,1425782.25,1425782.25,0.00019106,1425782.25,0.00019106,27.43729271,8.52E+00,
35,1266351.59,1266351.59,0.00015926,1265153.023,1198.567159,13.848952,3.82E+00,
36,1485438.801,1485438.801,-9.69E-06,1484167.261,1271.53999,0.00010299,3.33E-05,
37,1535172.542,1535172.542,0.00039139,1533520.737,1651.805391,0.00010299,3.44E-05,
38,1545999.677,1545999.677,0.00023476,1543904.906,2094.771235,0.642446818,2.16E-01,
39,1549928.492,1549928.492,0.00044363,1546883.191,3045.301444,0.00010299,3.48E-05,
40,1551123.064,1551123.064,0.00034478,1548153.882,2969.182345,82.63511608,2.79E+01,
41,1522074.3,1522074.3,-0.00025671,1520121.632,1952.667743,6.083398538,2.02E+00,
42,1500845.46,1500845.46,6.48E-05,1498892.792,1952.668065,0.00010299,3.37E-05,
43,1477105.821,1477105.821,-0.0002344,1477008.729,97.0917656,0.00010299,3.31E-05,
44,1473073.023,1473073.023,-0.00017354,1473073.023,-0.00017354,0.00010299,3.30E-05,
45,1449854.889,1449854.889,-0.00044093,1448935.466,919.4225591,179.8712483,5.68E+01,
46,1573884.956,1573884.956,0.00047308,1571932.289,1952.667473,92.55002448,3.17E+01,
47,1578256.229,1578256.229,4.55E-05,1576696.86,1559.369046,242.9354251,8.35E+01,
48,1586485.424,1586485.424,-0.00013623,1583613.334,2872.089864,12.38459587,4.28E+00,
49,1535958.94,1535958.94,0.00020875,1534006.272,1952.668209,16.65509752,5.57E+00,
50,1537749.947,1537749.947,0.00039133,1537749.947,0.00039133,0.00010299,3.45E-05,
51,1523933.809,1523933.809,2.26E-05,1523933.809,2.26E-05,14.51982728,4.82E+00,
52,1536155.136,1536155.136,8.63E-05,1535235.714,919.4220863,0.00010299,3.44E-05,
53,1434952.548,1434952.548,-0.00010308,1433753.981,1198.566897,0.608113496,1.90E-01,
54,1547893.958,1547893.958,0.00020014,1545799.187,2094.7712,1.851264205,6.24E-01,
55,1568993.968,1568993.968,-0.00023837,1567041.3,1952.667762,1.110747196,3.79E-01,
56,1575940.758,1575940.758,0.00048061,1574381.389,1559.369481,13.10067463,4.50E+00,
57,1578854.775,1578649.161,205.6138586,1577632.647,1222.127859,49.9156758,1.72E+01,
58,1571335.572,1571129.959,205.6132553,1569909.896,1425.676255,0.796847896,2.73E-01,
59,1548847.73,1548847.73,-0.0003126,1547928.307,919.4226874,0.00010299,3.47E-05,
60,1465391.172,1465391.172,-0.0003781,1464171.109,1220.062622,46.75710141,1.49E+01,
61,1532804.289,1532804.289,-0.00044617,1531584.226,1220.062554,0.00010299,3.44E-05,
62,1524470.633,1524470.633,-6.91E-05,1523551.211,919.4219309,91.76152943,3.05E+01,
63,1495749.098,1495749.098,0.00042858,1494529.036,1220.062429,30.11767072,9.81E+00,
64,1100057.082,1100057.082,0.00035925,1100057.082,0.00035925,3.195967297,7.65E-01,
65,1370363.464,1370363.464,-0.00032915,1367756.414,2607.049671,528.3963552,1.58E+02,
66,1407995.321,1407995.321,-0.00016361,1406559.626,1435.694836,0.00010299,3.16E-05,
67,1476248.793,1476248.793,0.00014331,1474977.254,1271.539143,138.8149333,4.46E+01,
68,1513926.317,1513926.317,2.21E-06,1511831.546,2094.771002,0.00010299,3.39E-05,
69,1542770.345,1542770.345,6.54E-06,1540817.677,1952.668007,54.51634872,1.83E+01,
70,1499688.497,1499688.497,0.00011191,1497735.829,1952.668112,74.44696069,2.43E+01,
71,1564476.553,1564476.553,0.00028154,1563460.039,1016.514282,0.00010299,3.51E-05,
72,1514494.214,1514494.214,0.00012083,1513477.7,1016.514121,0.631209554,2.08E-01,
73,1545241.749,1545241.749,0.00021464,1544322.327,919.4222146,9.296291089,3.13E+00,
74,1532018.961,1532018.961,-0.00018539,1530798.898,1220.062815,7.429876834,2.48E+00,
75,1520347.463,1520347.463,-0.00023837,1519406.298,941.1647616,0.00010299,3.41E-05,
76,1523511.15,1523511.15,-0.00040827,1523316.943,194.2065917,2.12463254,7.05E-01,
77,1509515.659,1509515.659,-6.95E-05,1508295.597,1220.06193,15.48768274,5.09E+00,
78,1409102,1409102,-0.00034177,1407068.567,2033.432658,0.00010299,3.16E-05,
79,1385555.673,1385555.673,-0.00038466,1384357.105,1198.567615,22.0473012,6.65E+00,
80,1413653.58,1413653.58,6.01E-05,1412382.041,1271.53906,845.0590729,2.60E+02,
81,1460378.437,1460378.437,-0.00038429,1457872.292,2506.144616,102.2352226,3.25E+01,
82,1515853.406,1515853.406,-7.22E-05,1514196.944,1656.461928,11.77703801,3.89E+00,
83,1495334.664,1495334.664,-0.00010028,1493463.81,1870.8539,0.631211547,2.06E-01,
84,1524146.451,1524146.451,-0.00035824,1522926.388,1220.062642,23.94850525,7.95E+00,
85,1502649.326,1502649.326,4.08E-05,1501429.264,1220.062041,0.00010299,3.37E-05,
86,1482083.464,1482083.464,-0.00049864,1481142.299,941.1645014,1.586547553,5.12E-01,
87,1488564.25,1488564.25,-0.00010324,1487923.725,640.5248968,0.00010299,3.34E-05,
88,1378518.258,1378518.258,-0.00041205,1376484.825,2033.432588,440.0987338,1.32E+02,
89,1343176.461,1343176.461,-7.20E-05,1341063.328,2113.132928,6.419590335,1.88E+00,
90,1358228.087,1358228.087,-2.07E-06,1357029.52,1198.566998,6.116354161,1.81E+00,
91,1338567.258,1338567.258,-0.00013396,1336454.125,2113.132866,0.00010299,3.00E-05,
92,1440971.448,1440971.448,-7.19E-06,1439412.078,1559.369993,333.1503288,1.05E+02,
93,1504955.53,1504955.53,0.00017847,1503735.468,1220.062178,230.0699412,7.54E+01,
94,1509884.805,1509884.805,0.00047343,1508664.743,1220.062473,55.34771426,1.82E+01,
95,1537915.736,1537915.736,0.00023117,1536501.467,1414.269231,6.11624361,2.05E+00,
96,1501766.086,1501766.086,-0.00023497,1500351.817,1414.268765,45.55049807,1.49E+01,
97,1480242.699,1480242.699,-0.00049971,1479301.534,941.1645003,15.50459424,5.00E+00,
98,1480415.61,1480415.61,-0.00012341,1479775.085,640.5248766,53.49065266,1.72E+01,
99,1369117.625,1369117.625,-0.0004531,1368198.202,919.4225469,25.07363012,7.47E+00,
100,1329327.713,1329327.713,-0.00019779,1327589.437,1738.275802,17.63874771,5.11E+00,
101,1430875.592,1430875.592,0.00031734,1429219.131,1656.461317,135.3819332,4.22E+01,
102,1466084.946,1466084.946,-0.00032444,1464864.883,1220.062676,287.0059773,9.16E+01,
103,1553499.698,1553499.698,-0.00046637,1552085.429,1414.268534,40.31551903,1.36E+01,
104,1569231.495,1569231.495,0.00024202,1567817.226,1414.269242,51.9605084,1.78E+01,
105,1544439.518,1544439.518,-0.00044507,1543798.993,640.5245549,765.564986,2.57E+02,
106,1490799.273,1490799.273,0.0003786,1490605.067,194.2063786,0.00010299,3.34E-05,
107,1451075.61,1451075.61,-0.00040636,1450881.403,194.2065936,18.86468334,5.96E+00,
108,1278329.993,1278329.993,0.00045839,1276790.477,1539.516458,3.8538967,1.07E+00,
109,1397062.069,1397062.069,0.00038765,1396045.555,1016.514388,1615.752238,4.91E+02,
110,1464158.036,1464158.036,-0.00047804,1462937.973,1220.062522,2041.139664,6.51E+02,
111,1527333.792,1527333.792,0.00046623,1525919.523,1414.269466,819.0363561,2.72E+02,
112,1548365.294,1548365.294,-0.00033707,1547424.129,941.1646629,0.00010299,3.47E-05,
113,1494606.463,1494606.463,0.00023973,1493192.194,1414.26924,725.5933355,2.36E+02,
114,1463555.254,1463555.254,0.00039076,1462140.985,1414.269391,97.40837708,3.10E+01,
115,1441658.971,1441658.971,0.00023285,1441018.446,640.5252329,543.2621322,1.71E+02,
116,1459244.222,1459244.222,-0.0004272,1459050.015,194.2065728,191.8006225,6.09E+01,
117,1350380.905,1350380.905,3.59E-05,1348966.636,1414.269036,1096.877077,3.23E+02,
118,1420365.366,1420365.366,2.99E-05,1418951.097,1414.26903,1537.346575,4.75E+02,
119,1422658.73,1422658.73,0.00034018,1421717.565,941.1653402,1733.533719,5.37E+02,
120,1406227.255,1406227.255,-0.00047401,1405286.09,941.164526,402.6870641,1.23E+02,
121,1451288.894,1451288.894,-7.12E-05,1451094.687,194.2069288,0.00010299,3.25E-05,
122,1433860.977,1433860.977,0.00041821,1433666.771,194.2064182,725.7637604,2.27E+02,
123,1391117.996,1386957.99,4160.006151,1386317.465,4800.531151,267.1532931,8.09E+01,
124,1369704.99,1356294.914,13410.07581,1355654.39,14050.59981,616.9085712,1.84E+02,
125,1330163.381,1330163.381,-0.00036644,1327194.198,2969.182634,32.23551107,9.34E+00,
126,1334699.882,1334699.882,9.11E-05,1333285.613,1414.269091,124.2987941,3.61E+01,
127,1383677.531,1383677.531,0.00046444,1382263.262,1414.269464,26.36346757,7.94E+00,
128,1397222.538,1397222.538,-0.00029992,1395808.269,1414.2687,2.925833985,8.90E-01,
129,1433796.717,1433796.717,5.11E-05,1432855.552,941.1650511,47.58518228,1.49E+01,
130,1406855.58,1406855.58,-0.00018412,1405441.311,1414.268816,988.8130299,3.03E+02,
131,1406087.421,1406087.421,-0.00045229,1404673.152,1414.268548,3289.806615,1.01E+03,
132,1408947.816,1408947.816,-0.00034875,1408307.291,640.5246513,29.92842902,9.18E+00,
133,1427589.346,1427589.346,-0.00016897,1426175.077,1414.268831,8.728155037,2.71E+00,
134,1474940.338,1474940.338,-0.00037994,1473526.069,1414.26862,38.0301172,1.22E+01,
135,1402729.064,1402729.064,0.00020382,1401314.795,1414.269204,981.5520766,3.00E+02,
136,1274565.669,1274565.669,7.74E-05,1271853.504,2712.165077,681.8316237,1.89E+02,
137,1405143.031,1405143.031,-6.41E-06,1403728.762,1414.268994,0.405635506,1.24E-01,
138,1445762.995,1445762.995,0.00033171,1445122.47,640.5253317,10.63032909,3.35E+00,
139,1435353.791,1435353.791,-0.00013452,1434412.626,941.1648655,0.00010299,3.22E-05,
140,1421316.735,1421316.735,-0.00018121,1419902.466,1414.268819,0.00010299,3.19E-05,
141,1381698.762,1381698.762,0.00026119,1380284.493,1414.269261,15.2984667,4.60E+00,
142,1431952.539,1431952.539,-0.00020295,1431011.374,941.164797,365.1748832,1.14E+02,
143,1464517.225,1464517.225,-8.69E-05,1464323.018,194.2069131,0.00010299,3.28E-05,
144,1393058.214,1393058.214,0.00039561,1391643.945,1414.269396,1119.399227,3.40E+02,
145,1468111.386,1468111.386,-0.00043108,1467470.861,640.5245689,56.6822071,1.81E+01,
146,1578034.508,1578034.508,-0.00022333,1577093.343,941.1647767,140.1721887,4.82E+01,
147,793045.3984,792492.2998,553.0986272,792492.2998,553.0986272,0.00010299,1.78E-05,
148,849571.4291,849571.4291,4.16E-05,849571.4291,4.16E-05,0.00010299,1.91E-05,
149,1391932.804,1391932.804,0.00023166,1389819.671,2113.133232,802.8836932,2.43E+02,
150,1349888.152,1349314.535,573.6166889,1347281.102,2607.049689,0.00010299,3.03E-05,
151,1270221.123,1269104.454,1116.669213,1262048.704,8172.419213,401.8165556,1.11E+02,
152,1187346.711,1187346.711,-0.00044547,1185115.684,2231.026555,3737.743639,9.66E+02,
153,1314751.185,1314751.185,-9.07E-05,1314338.637,412.5479093,1510.146795,4.32E+02,
154,1436677.017,1436677.017,0.00035227,1434643.585,2033.432352,1559.560076,4.88E+02,
155,1343296.252,1342365.593,930.658683,1342365.593,930.658683,943.8032282,2.76E+02,
156,1282156.819,1282156.819,-0.00032418,1281744.27,412.5486758,3633.875283,1.01E+03,
157,1202920.497,1202920.497,-0.00047114,1200485.161,2435.335529,3800.730356,9.95E+02,
158,1192464.967,1191534.308,930.6591967,1189368.718,3096.249197,3283.296511,8.52E+02,
159,1239357.752,1239357.752,-2.88E-05,1236645.587,2712.164971,1500.507026,4.05E+02,
160,1331751.889,1331751.889,0.00025257,1329881.036,1870.853253,875.2958609,2.54E+02,
161,1560140.583,1560140.583,6.62E-06,1559221.161,919.4220066,106.3106535,3.61E+01,
162,1519726.36,1519726.36,0.00044282,1518312.091,1414.269443,156.4057365,5.18E+01,
163,956857.344,956857.344,2.06E-05,956857.344,2.06E-05,4206.023084,8.76E+02,
164,1056047.083,1056047.083,-0.0002429,1051222.359,4824.723757,400.996756,9.22E+01,
165,1184712.667,1184712.667,0.00037479,1184271.48,441.1873748,1920.097246,4.95E+02,
166,1074091.055,1074091.055,-2.34E-05,1074091.055,-2.34E-05,1941.237516,4.54E+02,
167,1013011.147,1013011.147,0.00049872,1010780.121,2231.026499,3317.857257,7.32E+02,
168,1321189.67,1321189.67,-0.00013612,1321189.67,-0.00013612,962.3629579,2.77E+02,
169,1244194.238,1244194.238,0.00038593,1243095.91,1098.328386,988.023129,2.68E+02,
170,1253921.387,1253921.387,-0.00021016,1252649.847,1271.53979,1398.124242,3.82E+02,
171,1308329.044,1308329.044,-5.04E-05,1307230.715,1098.32895,2755.475013,7.85E+02,
172,1219288.73,1219288.73,-0.00026522,1218190.401,1098.328735,855.8816531,2.27E+02,
173,1105440.715,1105440.715,-5.05E-05,1105440.715,-5.05E-05,4026.921145,9.69E+02,
174,1527043.756,1527043.756,-0.00020082,1525823.693,1220.062799,0.00010299,3.42E-05,
175,1236819.965,1232163.241,4656.72351,1231243.819,5576.14551,416.7384014,1.12E+02,
176,1360043.099,1360043.099,6.90E-07,1359123.677,919.4220007,396.9347117,1.18E+02,
177,1363132.331,1355522.577,7609.753662,1354775.619,8356.711662,431.3345821,1.28E+02,
178,1292578.067,1291710.485,867.5817758,1290791.063,1787.003776,1694.388197,4.77E+02,
179,1253545.373,1253545.373,3.11E-05,1253545.373,3.11E-05,2088.573095,5.70E+02,
180,1150846.422,1150846.422,0.00044719,1150846.422,0.00044719,3215.932292,8.06E+02,
181,1348226.559,1339460.988,8765.571207,1339014.67,9211.889207,154.03312,4.52E+01,
182,1260396.661,1250910.179,9486.481898,1250715.973,9680.687898,1785.965084,4.90E+02,
183,1218795.782,1215020.199,3775.582561,1214547.095,4248.686561,559.8478427,1.49E+02,
184,1261364.817,1255487.396,5877.421054,1255293.19,6071.627054,733.0218813,2.01E+02,
185,1245555.226,1224997.732,20557.49421,1224997.732,20557.49421,765.2307928,2.08E+02,
186,1181764.018,1181764.018,0.00016088,1179532.991,2231.027161,1401.717228,3.61E+02,
187,1371639.678,1370709.019,930.6591838,1370307.117,1332.561184,463.5074394,1.38E+02,
188,1348962.976,1342913.91,6049.065917,1342467.592,6495.383917,2082.78879,6.12E+02,
189,1345399.078,1343908.867,1490.211212,1342688.805,2710.273212,335.5002462,9.83E+01,
190,1286847.549,1283500.153,3347.39621,1282580.731,4266.81821,18.65157149,5.23E+00,
191,1261909.321,1258921.561,2987.759843,1258174.603,3734.717843,276.4288708,7.60E+01,
192,1430767.467,1430767.467,-0.00034597,1429353.198,1414.268654,779.0516504,2.43E+02,
193,1337271.645,1337271.645,-0.00012993,1335857.376,1414.26887,1397.851554,4.07E+02,
194,1511465.792,1511465.792,-0.00035552,1511271.585,194.2066445,0.058064883,1.91E-02,
195,1429940.006,1429940.006,-0.00023507,1428525.737,1414.268765,768.4921023,2.39E+02,
196,1272954.488,1265484.356,7470.132373,1265290.149,7664.339373,2570.008504,7.12E+02,
197,1526670.183,1526670.183,0.00033888,1526475.977,194.2063389,596.508066,1.98E+02,
198,1422595.049,1422595.049,-8.20E-05,1422400.842,194.206918,1190.290257,3.69E+02,
199,1260052.307,1260052.307,2.44E-05,1259111.142,941.1650244,2572.946921,7.06E+02,
200,1416847.351,1416847.351,5.56E-05,1415433.082,1414.269056,19.59265067,6.04E+00,
201,1382793.784,1382793.784,0.00022346,1382153.259,640.5252235,3319.60921,9.99E+02,
202,1263736.784,1263736.784,-0.00044662,1263096.259,640.5245534,1818.221543,5.00E+02,
205,1335417.182,1335417.182,-2.35E-05,1333460.08,1957.101977,1176.268199,3.42E+02,
206,1281900.88,1281900.88,-0.00037909,1279752.265,2148.614621,3788.913002,1.06E+03,
207,1264888.798,1264888.798,2.04E-05,1261879.846,3008.95202,3293.28886,9.07E+02,
208,1475940.656,1475940.656,-0.00018544,1474526.387,1414.268815,0.000106658,3.43E-05,
209,1333335.259,1333335.259,-0.00043661,1331963.481,1371.777563,888.3124827,2.58E+02,
210,1474579.895,1474579.895,-3.99E-06,1471351.31,3228.584996,1051.113321,3.37E+02,
211,1469645.976,1469645.976,-0.00012952,1468726.554,919.4218705,880.1982681,2.82E+02,
212,1364349.953,1364349.953,-0.00025878,1362611.677,1738.275741,2241.42511,6.66E+02,
213,1283000.806,1283000.806,-8.68E-05,1281586.537,1414.268913,732.4879464,2.05E+02,
214,1182222.131,1181291.472,930.6593872,1180350.307,1871.824387,1761.467124,4.53E+02,
215,1573055.338,1573055.338,-9.84E-05,1571641.069,1414.268902,1537.885857,5.27E+02,
216,1349321.376,1348390.717,930.6588889,1345783.667,3537.708889,178.2657128,5.24E+01,
217,1428061.109,1428061.109,-0.00024136,1427141.686,919.4227586,422.0436021,1.31E+02,
218,1348244.6,1348244.6,0.00035769,1348244.6,0.00035769,1438.397717,4.22E+02,
219,1310415.262,1310415.262,-0.0001381,1309968.944,446.3178619,1533.723374,4.38E+02,
220,1198674.059,1198674.059,0.00048174,1198479.853,194.2064817,880.3732715,2.30E+02,
221,1046556.245,1046556.245,-6.12E-05,1045809.287,746.9579388,1456.997777,3.32E+02,
222,1352167.725,1352167.725,0.00036279,1351069.397,1098.328363,0.000106658,3.14E-05,
223,1154507.538,1153966.552,540.985845,1153734.228,773.309845,524.8379544,1.32E+02,
224,1434191.971,1434191.971,0.00032676,1432453.695,1738.276327,0.000106658,3.33E-05,
225,1146856.064,1146856.064,0.0004829,1146856.064,0.0004829,0.000106658,2.66E-05,
226,935771.4235,935771.4235,-3.73E-05,935771.4235,-3.73E-05,1780.474452,3.63E+02,
227,1052352.613,1052352.613,7.07E-05,1052352.613,7.07E-05,3008.323102,6.89E+02,
228,1070693.622,1070693.622,-0.00027643,1069946.934,746.6877236,2692.316866,6.28E+02,
229,1033812.979,1033812.979,-0.00047669,1032709.114,1103.864523,3334.655024,7.51E+02,
230,915903.8662,915903.8662,-2.19E-05,915157.1783,746.6878781,3590.056708,7.16E+02,
231,1037424.644,1036451.109,973.5346803,1036218.785,1205.85868,2661.349366,6.01E+02,
232,1052133.942,1052133.942,-4.40E-05,1051640.025,493.916956,1745.419444,4.00E+02,
233,1091495.297,1091495.297,0.00027816,1090560.193,935.1042782,2017.405038,4.79E+02,
236,1030035.245,1029235.938,799.3073831,1027487.201,2548.044383,1422.957496,3.19E+02,
237,973268.0671,973268.0671,4.60E-05,972521.3793,746.687846,1643.675357,3.48E+02,
238,991916.7926,991916.7926,-5.87E-06,990812.9277,1103.864894,342.8875586,7.41E+01,
239,1285200.317,1285200.317,0.00040867,1282980.971,2219.346409,625.9179253,1.75E+02,
240,1440936.624,1440936.624,-4.15E-05,1438010.067,2926.556959,1301.419214,4.08E+02,
241,1115980.331,1115256.73,723.6012981,1112541.929,3438.402298,1628.008541,3.96E+02,
242,1170066.466,1169092.932,973.5337927,1168448.059,1618.406793,2617.974598,6.67E+02,
243,1214583.58,1214583.58,-0.0004565,1214351.255,232.3245435,1173.830968,3.10E+02,
244,1438627.078,1438627.078,-0.00018019,1435883.805,2743.27282,553.0395378,1.73E+02,
245,1247857.422,1247857.422,9.08E-05,1247363.505,493.9170908,2212.322931,6.01E+02,
246,1229700.602,1228583.933,1116.668838,1226550.5,3150.101838,1917.14988,5.13E+02,
247,1267809.745,1266693.076,1116.669479,1264659.644,3150.101479,1191.479637,3.29E+02,
248,1293073.955,1291957.285,1116.669587,1289923.853,3150.101587,1636.834087,4.61E+02,
249,1299072.956,1297956.287,1116.669193,1295520.952,3552.004193,1571.425648,4.44E+02,
250,1177291.373,1176750.386,540.9865946,1176518.062,773.3105946,1418.779207,3.64E+02,
251,1140109.156,1139568.17,540.9859436,1139335.846,773.3099436,3283.828509,8.15E+02,
252,984052.7747,984052.7747,-3.96E-05,976513.2498,7539.52486,1812.468904,3.88E+02,
253,1098176.026,1098176.026,7.32E-06,1098176.026,7.32E-06,2197.184302,5.25E+02,
254,1338160.464,1337229.805,930.6587693,1333610.226,4550.237769,755.8512121,2.20E+02,
255,1285246.348,1285246.348,-0.00039959,1283212.915,2033.4326,1102.50463,3.09E+02,
256,1224956.21,1223839.54,1116.669533,1223839.54,1116.669533,1326.111275,3.54E+02,
257,1162701.177,1162701.177,-0.0004624,1161602.848,1098.328538,1462.122678,3.70E+02,
258,1234967.751,1234967.751,0.00039434,1234967.751,0.00039434,2632.802691,7.08E+02,
259,1172031.113,1171490.127,540.9859327,1171257.803,773.3099327,1728.913998,4.41E+02,
260,1139219.732,1139219.732,-9.76E-05,1139219.732,-9.76E-05,1491.125109,3.70E+02,
261,1058755.425,1058755.425,0.00017842,1058755.425,0.00017842,2561.214821,5.90E+02,
262,1092001.707,1092001.707,0.00023183,1092001.707,0.00023183,1202.100878,2.86E+02,
263,1007008.316,1006676.57,331.7463085,1005716.439,1291.877309,9.96E-05,2.18E-05,
264,1246382.294,1245265.625,1116.668854,1245265.625,1116.668854,9.96E-05,2.70E-05,
265,1027887.958,1027556.211,331.7467504,1027556.211,331.7467504,30.00261394,6.71E+00,
266,983238.314,983238.314,-4.56E-05,982278.1826,960.1313544,9.96E-05,2.13E-05,
267,922031.0921,922031.0921,3.08E-05,921284.1338,746.9583308,780.0654966,1.57E+02,
268,1187911.443,1186794.774,1116.669333,1186794.774,1116.669333,1428.763101,3.70E+02,
270,1318093.594,1318093.594,-0.00017254,1317647.276,446.3178275,2268.788629,6.51E+02,
271,1247327.745,1247327.745,-0.0001253,1246408.323,919.4218747,1856.692116,5.04E+02,
272,1087696.548,1086579.879,1116.668887,1086133.56,1562.987887,686.927444,1.63E+02,
273,1048285.454,1047168.785,1116.669062,1046974.578,1310.876062,4770.646254,1.09E+03,
274,1235348.895,1235348.895,-0.00026075,1235154.688,194.2067392,1222.797266,3.29E+02,
275,1166167.03,1165050.361,1116.668761,1165050.361,1116.668761,674.8881531,1.71E+02,
276,1020005.285,1019031.751,973.5344652,1019031.751,973.5344652,2632.172885,5.85E+02,
277,1180011.262,1180011.262,-0.00027002,1179817.055,194.20673,1461.757628,3.76E+02,
278,1002430.293,1000907.385,1522.908052,1000907.385,1522.908052,3054.493426,6.67E+02,
279,1285384.544,1285384.544,-0.00014733,1285190.337,194.2068527,0.00010416,2.92E-05,
280,977324.7474,977324.7474,-1.23E-05,977324.7474,-1.23E-05,3371.402158,7.17E+02,
281,1080200.65,1079659.664,540.9859441,1079465.457,735.1929441,1027.829607,2.42E+02,
282,947067.3317,946735.5853,331.7464215,946735.5853,331.7464215,1062.217232,2.19E+02,
283,1107348.031,1107348.031,1.38E-05,1106901.713,446.3180138,1100.8175,2.65E+02,
284,1091717.597,1091285.049,432.5478936,1091090.842,626.7548937,1099.528193,2.61E+02,
285,1057835.244,1057035.937,799.3073316,1056841.731,993.5133316,711.1931635,1.64E+02,
286,914134.0179,914134.0179,-3.68E-05,913939.8112,194.2066632,2441.284112,4.86E+02,
287,1008119.112,1008119.112,0.00010194,1007924.905,194.2071019,948.8427096,2.08E+02,
288,921336.5781,921336.5781,1.51E-05,921142.3715,194.2066151,879.5960968,1.76E+02,
289,917126.4277,917126.4277,2.70E-05,917126.4277,2.70E-05,612.2937588,1.22E+02,
290,873996.9246,873996.9246,4.06E-05,873996.9246,4.06E-05,1100.8175,2.09E+02,
291,1298824.78,1297894.122,930.6584847,1297894.122,930.6584847,299.9559998,8.48E+01,
292,1187457.274,1186916.288,540.9863371,1186722.081,735.1933371,440.2949646,1.14E+02,
300,917237.6716,916684.573,553.098638,916684.573,553.098638,2314.259039,4.62E+02,
301,848887.5223,848887.5223,4.95E-05,848887.5223,4.95E-05,1937.487865,3.58E+02,
302,854455.3814,853545.0795,910.3018649,853545.0795,910.3018649,2710.028616,5.04E+02,
303,932866.7884,931132.1336,1734.654821,925275.9512,7590.837221,1163.285346,2.36E+02,
304,986264.5687,986264.5687,1.47E-05,986264.5687,1.47E-05,3039.444658,6.53E+02,
305,1120810.77,1120810.77,-1.09E-05,1117832.651,2978.118989,972.8453837,2.37E+02,
306,950534.9268,950534.9268,-3.53E-05,950534.9268,-3.53E-05,1454.954356,3.01E+02,
307,1101223.124,1101223.124,-0.00011063,1100476.436,746.6878894,1460.411786,3.50E+02,
308,1039570.627,1039570.627,-0.00023706,1033714.444,5856.182763,2252.709441,5.10E+02,
309,1271252.421,1271252.421,-0.00042387,1271252.421,-0.00042387,569.5424829,1.58E+02,
310,1113823.564,1113823.564,-4.16E-05,1113076.876,746.6879584,1638.367218,3.97E+02,
