num_opportunities,EMP_2016,T2&T3,Marginal,Base,Net to Base,ERP,,
111,1147428.45,1147428.45,-0.00019734,1147428.45,-0.00019734,819.0363561,2.05E+02,
112,1176071.172,1176071.172,0.00039246,1176071.172,0.00039246,0.00010299,2.64E-05,
113,1122964.473,1122033.814,930.659095,1121621.266,1343.207095,725.5933355,1.77E+02,
114,1092042.967,1091112.308,930.6589433,1090699.76,1343.206943,97.40837708,2.32E+01,
115,1063426.294,1062495.635,930.6587631,1062495.635,930.6587631,543.2621322,1.26E+02,
116,1083958.682,1083028.023,930.6587964,1082534.106,1424.575796,191.8006225,4.53E+01,
117,981382.3247,980841.3385,540.98623,977111.7454,4270.57933,1096.877077,2.34E+02,
118,1037559.237,1036442.567,1116.669514,1036030.019,1529.217514,1537.346575,3.47E+02,
119,1039537.647,1038420.978,1116.668925,1038420.978,1116.668925,1733.533719,3.92E+02,
120,1017121.381,1016004.712,1116.669207,1015359.84,1761.541207,402.6870641,8.92E+01,
121,1063020.612,1062089.953,930.6594134,1059976.821,3043.791413,0.00010299,2.38E-05,
122,1035733.212,1033532.499,2200.712567,1031419.366,4313.845567,725.7637604,1.64E+02,
123,986552.2117,978793.4769,7758.734775,978561.1529,7991.058775,267.1532931,5.74E+01,
124,971831.8582,960189.3779,11642.48028,960189.3779,11642.48028,616.9085712,1.31E+02,
125,936553.4211,936553.4211,-3.99E-05,933838.6197,2714.80136,32.23551107,6.57E+00,
126,946433.8232,945892.8369,540.9862647,942037.4607,4396.362465,124.2987941,2.56E+01,
127,1017331.568,1017331.568,0.00028938,1016686.696,644.8722894,26.36346757,5.84E+00,
128,1035824.703,1034708.034,1116.669261,1033739.204,2085.499261,2.925833985,6.60E-01,
129,1059272.038,1059272.038,0.0001316,1057052.691,2219.347132,47.58518228,1.10E+01,
130,1035813.304,1034696.635,1116.668983,1034202.718,1610.585983,988.8130299,2.23E+02,
131,995004.0595,993193.0193,1811.040203,993193.0193,1811.040203,3289.806615,7.13E+02,
132,994241.0903,990589.4463,3651.644009,990589.4463,3651.644009,29.92842902,6.48E+00,
133,1044396.345,1043279.676,1116.669466,1041246.244,3150.101466,8.728155037,1.98E+00,
134,1092349.717,1091808.731,540.986387,1089775.298,2574.419387,38.0301172,9.05E+00,
135,1009166.382,1008625.396,540.9861863,1006591.963,2574.419186,981.5520766,2.16E+02,
136,869566.2288,869566.2288,4.95E-05,868819.541,746.6878495,681.8316237,1.29E+02,
137,1009402.607,1008861.621,540.9860676,1006828.188,2574.419068,0.405635506,8.92E-02,
138,1068979.615,1067862.945,1116.669517,1065427.61,3552.004517,10.63032909,2.47E+00,
139,1051869.33,1051869.33,0.0002419,1049835.898,2033.432242,0.00010299,2.36E-05,
140,1013546.871,1013005.884,540.9866818,1012511.968,1034.902682,0.00010299,2.27E-05,
141,990513.888,989972.9018,540.986228,989478.985,1034.903028,15.2984667,3.30E+00,
142,1028613.633,1028072.647,540.9862789,1026039.214,2574.419279,365.1748832,8.18E+01,
143,1081201.344,1080660.358,540.9857541,1077478.195,3723.148754,0.00010299,2.42E-05,
144,986473.4448,986473.4448,-1.57E-05,985828.5724,644.8723843,1119.399227,2.40E+02,
145,1093647.777,1093647.777,9.48E-05,1091212.442,2435.335095,56.6822071,1.35E+01,
146,1207497.859,1206956.872,540.9867391,1204923.44,2574.418739,140.1721887,3.69E+01,
147,436501.7124,436501.7124,-2.92E-05,436501.7124,-2.92E-05,0.00010299,9.79E-06,
148,477526.9026,477526.9026,6.80E-07,477526.9026,6.80E-07,0.00010299,1.07E-05,
149,949631.4523,949631.4523,4.94E-05,949631.4523,4.94E-05,802.8836932,1.66E+02,
150,923292.5866,922666.4151,626.1715436,922666.4151,626.1715436,0.00010299,2.07E-05,
151,803946.7908,801522.9676,2423.823153,801522.9676,2423.823153,401.8165556,7.03E+01,
152,732947.1813,731423.6395,1523.541786,731423.6395,1523.541786,3737.743639,5.96E+02,
153,893250.5416,891439.9584,1810.583204,891439.9584,1810.583204,1510.146795,2.94E+02,
154,1001621.776,1000663.858,957.9179847,1000663.858,957.9179847,1559.560076,3.40E+02,
155,905864.167,905013.2495,850.9174522,905013.2495,850.9174522,943.8032282,1.86E+02,
156,851750.3766,851750.3766,-3.20E-05,851750.3766,-3.20E-05,3633.875283,6.74E+02,
157,790912.8273,790912.8273,2.60E-05,790912.8273,2.60E-05,3800.730356,6.55E+02,
