num_opportunities,Base 30 Mins,30 Mins,Base 45 Mins,45 Mins,Base 60 Mins,60 Mins,TZ16_CODE,,TZ16_NAME,Tz16_Area,30 Min Lin ,45 Min Lin,60 Min Lin
1009,76153.40605,7.80E-07,371765.5182,0,1135935.004,2403.939688,1009,YES,Westmead_M.J. Bennett Reserve,461530.8443,1.17E-02,0.00E+00,5.66E+06
1010,31374.42986,-1.68E-06,150772.2737,0,347676.2751,0,1010,YES,Westmead,561106.992,-3.06E-02,0.00E+00,0.00E+00
1011,50970.11379,3.19E-06,172544.1,0,844267.114,0,1011,YES,Westmead_Hawkesbury Rd and Amos St,605146.9479,6.27E-02,0.00E+00,0.00E+00
1012,22159.26602,-1.18E-06,126103.1185,0,319813.0138,0,1012,YES,Wentworthville_Smith st and Garfield st,381183.172,-1.46E-02,0.00E+00,0.00E+00
1013,64062.24201,3.30E-07,198821.9335,0,821857.6974,0,1013,YES,Mays Hill Cemetery,356026.5045,3.82E-03,0.00E+00,0.00E+00
1014,898.8967064,0,61095.37149,-4.49E-06,130128.8617,1.43E-05,1014,YES,The Kings School,2182612.907,0.00E+00,-1.07E-01,1.59E-01
1015,58984.21447,4.00E-07,148137.2105,7.18E-06,496476.3765,4.75E-05,1015,YES,North Parramatta,261032.6389,3.39E-03,2.04E-02,6.32E-02
1016,36750.03388,4.10E-06,106351.9859,6.12E-06,314171.8575,-2.10E-05,1016,YES,North Parramatta_Belmore Park,592381.6039,7.89E-02,3.95E-02,-6.34E-02
1017,49383.04319,3.00E-07,107853.5443,0,322515.8889,1.67E-05,1017,YES,North Parramatta_Bellevue St and Burnside St,271917.5018,2.65E-03,0.00E+00,2.32E-02
1018,54884.15701,0,124455.7443,-1.63E-05,366546.2699,-3.68E-05,1018,YES,Parramatta Correctional Centre,476675.2838,0.00E+00,-8.47E-02,-8.95E-02
1019,81522.84738,-1.40E-06,201683.3145,-1.04E-05,951475.6448,0,1019,YES,North Parramatta_O'Connell St and Albert St,227143.8013,-1.03E-02,-2.57E-02,0.00E+00
1020,52767.19291,-4.83E-06,124634.1673,-4.98E-05,364288.2727,-3.36E-05,1020,YES,North Parramatta_Buller St and Isabella St,387460.2697,-6.08E-02,-2.10E-01,-6.64E-02
1021,60585.03934,1.07E-06,146962.1546,2.94E-05,697128.5593,0,1021,YES,North Parramatta_Albert St and Sorrell St,144380.4524,5.02E-03,4.63E-02,0.00E+00
1022,34607.63273,-1.13E-06,95643.97038,2.35E-06,264136.6935,2.88E-05,1022,YES,Parramatta_Webb St and Isabella St,764352.7157,-2.81E-02,1.96E-02,1.12E-01
1023,81270.30756,1.57E-06,205120.8385,-4.80E-05,935330.7788,0,1023,YES,Parramatta_St Patricks Primary School,118149.561,6.03E-03,-6.18E-02,0.00E+00
1024,65851.11667,-3.14E-06,162874.2953,-4.57E-05,768423.6764,0,1024,YES,Parramatta_Grose St and Sorrell St,128574.5236,-1.31E-02,-6.40E-02,0.00E+00
1025,89622.21987,5.00E-07,251604.3692,-8.45E-06,1017261.339,0,1025,YES,Parramatta_Parramatta Stadium,342870.802,5.57E-03,-3.16E-02,0.00E+00
1026,80045.71793,-2.14E-06,306247.5953,1.33E-05,1029765.633,0,1026,YES,Marsden Rehabilitation Centre,124479.9525,-8.66E-03,1.80E-02,0.00E+00
1027,70649.88282,2.46E-06,204160.7584,-4.42E-05,929514.8603,0,1027,YES,Macarthur Girls High School,380438.5292,3.04E-02,-1.83E-01,0.00E+00
1028,56813.14789,0,130031.8966,-1.54E-05,480998.6837,-1.83E-05,1028,YES,Parramatta_Broughton St,296580.8431,0.00E+00,-4.98E-02,-2.77E-02
1029,66460.97588,0,144025.129,3.23E-05,523666.6064,0,1029,YES,Parramatta_Morton St and Pemberton Ln,348565.613,0.00E+00,1.23E-01,0.00E+00
1030,222862.4044,4.93E-05,871196.4898,8.72E-06,1527692.63,7620.930171,1030,YES,Parramatta_Horwood Pl and Macquarie St,47906.33718,7.68E-02,4.55E-03,1.86E+06
1031,17856.72843,0,311150.2268,1.65E-05,914630.178,-4.64E-05,1031,YES,Darling Mills State Forest North Rocks,1660079.014,0.00E+00,2.99E-01,-3.93E-01
1032,2647.176045,-2.00E-07,46887.90026,-2.47E-06,239977.7665,-1.81E-05,1032,YES,Westfield North Rocks,1198126.155,-7.79E-03,-3.23E-02,-1.11E-01
1033,4836.413884,-1.00E-07,35800.92221,3.40E-06,211301.9186,0,1033,YES,Pure Milk,937373.9999,-3.05E-03,3.47E-02,0.00E+00
1034,4410.515376,0,17769.50635,3.61E-06,89989.98115,-4.90E-07,1034,YES,North Rocks,1131453.961,0.00E+00,4.45E-02,-2.83E-03
1035,8649.905449,3.00E-07,70540.97556,5.00E-07,178840.2496,-2.22E-05,1035,YES,North Rocks_Speers Road Reserve,439774.6156,4.29E-03,2.40E-03,-4.98E-02
1036,81009.52209,-2.85E-06,260727.7579,4.30E-05,1016788.807,0,1036,YES,Westmead_WSU Westmead Campus,181182.5058,-1.68E-02,8.49E-02,0.00E+00
1037,33645.21563,-4.50E-07,130475.2459,-2.78E-05,729601.7144,0,1037,YES,Westmead_Darcy Rd and Bridge Rd,119639.7488,-1.75E-03,-3.63E-02,0.00E+00
1038,14819.00457,1.00E-07,131507.5955,3.71E-05,708374.6713,-8.16E-06,1038,YES,Northmead,538215.5561,1.75E-03,2.18E-01,-2.24E-02
1039,12740.14451,-1.90E-06,115160.8641,3.88E-05,578421.0578,1.87E-05,1039,YES,Baulkham Hills_The Willows Retirement Village,528877.2207,-3.27E-02,2.24E-01,5.04E-02
1040,7906.143347,2.00E-07,79300.09982,1.67E-06,237299.1093,-1.24E-05,1040,YES,Northmead Plaza,1254810.465,8.16E-03,2.28E-02,-7.94E-02
1041,26806.8481,-4.10E-06,117548.4535,3.80E-05,375155.752,4.71E-05,1041,YES,Moxham Park,641214.1911,-8.54E-02,2.66E-01,1.54E-01
1042,26846.9407,2.60E-07,111922.273,1.69E-05,262767.8635,-1.49E-05,1042,YES,Northmead_Arthur Phillip Park,550905.8742,4.66E-03,1.01E-01,-4.19E-02
1043,51519.96806,-1.00E-06,118130.8026,3.04E-05,308374.9534,-3.86E-05,1043,YES,James Ruse Business Park,186040.5439,-6.05E-03,6.16E-02,-3.66E-02
1044,41989.39842,3.55E-06,155265.7093,-2.08E-05,588826.2459,-1.65E-05,1044,YES,Coca-Cola,676133.6599,7.80E-02,-1.53E-01,-5.69E-02
1045,54306.97248,2.25E-06,165712.9216,4.25E-05,855890.0855,0,1045,YES,Westmead Hospital,649945.6051,4.75E-02,3.01E-01,0.00E+00
1046,55578.42776,0,166334.2191,-7.48E-06,769574.4947,3.69E-05,1046,YES,Westmead Private Hospital,148187.1448,0.00E+00,-1.21E-02,2.79E-02
1047,38067.32171,6.50E-07,131271.9087,1.87E-05,720714.726,0,1047,YES,Westmead_Railway St and Water St,181213.9116,3.83E-03,3.69E-02,0.00E+00
1048,85503.28959,5.50E-07,347186.6173,0,1084773.472,0,1048,YES,Westmead Station_North,266066.7725,4.76E-03,0.00E+00,0.00E+00
1049,87658.835,-2.65E-06,625785.7538,4.81E-05,1252087.183,0,1049,YES,Parramatta CBD_Phillip St and Marsden St,78983.36438,-6.80E-03,4.14E-02,0.00E+00
1050,116456.3608,2.17E-05,703984.6922,-2.92E-05,1359188.393,984.7778491,1050,YES,Garfield Barwick Law Courts Building,51132.11797,3.61E-02,-1.63E-02,2.57E+05
1051,66854.3384,4.90E-06,162546.8643,2.09E-05,823976.6472,0,1051,YES,Parramatta Regional Park,547205.4535,8.71E-02,1.25E-01,0.00E+00
1052,93658.88147,-4.65E-06,620315.1925,4.90E-05,1286554.51,6940.385521,1052,YES,Parramatta CBD_Crowne Plaza,86733.72565,-1.31E-02,4.63E-02,3.07E+06
1053,108129.7316,2.95E-05,608709.0245,0,1287319.922,3925.969578,1053,YES,St. John's Cathedral,85431.14473,8.19E-02,0.00E+00,1.71E+06
1054,92655.14738,4.65E-06,602755.8594,-3.56E-05,1275241.576,3925.969578,1054,YES,Parramatta_Octagon Building,67697.42272,1.02E-02,-2.63E-02,1.36E+06
1055,148631.0872,-7.56E-06,820261.2316,0,1544090.405,6687.015986,1055,YES,Parramatta Station_North,53897.1915,-1.32E-02,0.00E+00,1.84E+06
1056,95825.51882,3.24E-06,418750.3657,0,1177859.883,2403.939688,1056,YES,Parramatta High School,344678.4049,3.63E-02,0.00E+00,4.23E+06
1057,126922.6238,1.23E-05,522186.9116,0,1377311.945,0,1057,YES,Parramatta Public School,77315.70672,3.09E-02,0.00E+00,0.00E+00
1058,110225.3007,3.51E-05,563009.9301,0,1313881.579,4649.435469,1058,YES,Westfield Parramatta CBD,109789.4487,1.25E-01,0.00E+00,2.60E+06
1059,146307.3087,4.78E-05,740863.6442,0,1457460.057,6687.015986,1059,YES,Parramatta Station_South,75871.99855,1.18E-01,0.00E+00,2.59E+06
1060,77207.34782,-1.26E-06,221725.6685,-4.17E-05,1006900.492,0,1060,YES,Queens Wharf Park,301706.7553,-1.24E-02,-1.37E-01,0.00E+00
1061,85316.49355,2.43E-06,225399.477,-4.85E-06,968265.298,0,1061,YES,Elizabeth Farmhouse Rosehill,383328.797,3.03E-02,-2.03E-02,0.00E+00
1062,97162.75456,5.40E-07,307312.3631,-1.18E-05,1189617.306,0,1062,YES,Harris Park_Albion St and Una St,120060.9643,2.11E-03,-1.54E-02,0.00E+00
1063,67267.35253,-2.91E-06,207589.0116,0,947457.8146,0,1063,YES,Parramatta_Bobart St and Glebe St,329486.1951,-3.12E-02,0.00E+00,0.00E+00
1064,66058.99644,3.29E-06,205201.557,3.28E-06,913588.907,0,1064,YES,Parramatta_Inkerman St and Dixon St,147740.6412,1.58E-02,5.28E-03,0.00E+00
1065,73454.92444,-6.70E-07,245110.3321,2.16E-05,1015040.48,0,1065,YES,Parramatta_High St and Raymond St,129743.5272,-2.83E-03,3.05E-02,0.00E+00
1066,56402.91845,-4.81E-06,180108.9043,0,774322.4861,0,1066,YES,Mays Hill,312357.4532,-4.88E-02,0.00E+00,0.00E+00
1067,57423.8132,-4.90E-06,170447.2483,-2.07E-06,514139.6301,0,1067,YES,Harris Park,347132.6229,-5.53E-02,-7.83E-03,0.00E+00
1068,10124.45253,-4.80E-06,93201.19194,1.93E-06,234143.5774,3.28E-05,1068,YES,Rosehill Station,983029.404,-1.53E-01,2.07E-02,1.64E-01
1069,68965.06908,-4.87E-06,235276.4988,-3.03E-05,938367.5985,0,1069,YES,Harris Park Station,138733.8676,-2.20E-02,-4.58E-02,0.00E+00
1070,35384.52513,-3.52E-06,130584.8165,-3.23E-05,335645.8441,-1.01E-05,1070,YES,Rosehill,271800.319,-3.11E-02,-9.57E-02,-1.40E-02
1071,6178.728176,-4.00E-07,21343.10853,4.80E-06,109862.7904,0,1071,YES,Rosehill_Industrial Area,451611.7412,-5.87E-03,2.36E-02,0.00E+00
1072,52835.72444,-4.10E-07,138681.6709,2.06E-05,522728.0704,0,1072,YES,Holroyd_Marsden St and Meehan St,274156.3082,-3.65E-03,6.16E-02,0.00E+00
1073,73372.34963,3.57E-06,265770.9331,-4.55E-05,1007351.741,0,1073,YES,Parramatta Ferry Wharf,36970.51865,4.29E-03,-1.83E-02,0.00E+00
1074,88433.29057,1.95E-06,596221.7457,2.20E-05,1253946.916,3925.969578,1074,YES,Parramatta - Arthur Phillip High School,47318.77532,3.00E-03,1.13E-02,9.47E+05
1075,15819.99323,-4.30E-06,130342.8303,2.77E-05,279683.3273,-3.30E-05,1075,YES,Johnstons Bridge Winston Hills,698285.1309,-9.76E-02,2.11E-01,-1.18E-01
1076,23782.44483,1.90E-06,159314.4003,-2.56E-05,562664.368,-3.39E-05,1076,YES,Toongabbie Station_East,1121578.712,6.93E-02,-3.13E-01,-1.94E-01
1077,25795.0312,0,113909.318,-5.98E-06,264526.6033,-2.62E-06,1077,YES,Baxter Healthcare,1169546.1,0.00E+00,-7.62E-02,-1.56E-02
1078,10063.02952,0,75941.79826,2.63E-06,208715.1299,3.28E-05,1078,YES,Binalong Park,661281.8787,0.00E+00,1.90E-02,1.11E-01
1079,17015.85571,-3.04E-06,128298.0906,4.73E-06,285622.2566,-3.28E-05,1079,YES,Constitution Hill,539915.8759,-5.33E-02,2.78E-02,-9.03E-02
1080,2587.797101,2.00E-07,63376.76505,4.25E-06,189396.8836,2.08E-05,1080,YES,Pendle Hill High School,699131.2533,4.54E-03,3.24E-02,7.42E-02
1081,29735.58054,2.65E-06,133878.9082,-1.73E-05,301886.3054,-4.38E-05,1081,YES,Parabianga Reserve,626831.8615,5.40E-02,-1.18E-01,-1.40E-01
1082,13667.93916,-4.00E-07,130613.3552,-3.43E-05,439069.8818,3.30E-05,1082,YES,Pendle Hill Station_North,567137.4431,-7.37E-03,-2.12E-01,9.54E-02
1083,5342.665958,1.50E-07,90719.8238,2.84E-06,240505.9798,4.77E-05,1083,YES,Wentworthville,825904.2074,4.03E-03,2.56E-02,2.01E-01
1084,42968.02942,-1.75E-06,137098.4346,-3.28E-05,671734.7762,0,1084,YES,Wentworthville Station_North,556184.6238,-3.16E-02,-1.99E-01,0.00E+00
1085,83164.01821,-1.94E-06,402005.6491,1.70E-05,1149879.649,0,1085,YES,Parramatta CBD_Angus Ln and Union St,41676.88606,-2.63E-03,7.72E-03,0.00E+00
1087,8995.972196,-5.00E-07,105113.0154,-5.17E-06,302046.6014,-1.08E-05,1087,YES,Baulkham Hills_Asquith Av and Melbourne Rd,666899.1645,-1.08E-02,-3.76E-02,-3.67E-02
1088,22888.5128,0,162301.407,4.05E-05,516162.6908,3.73E-05,1088,YES,Winston Heights Primary School,1606202.382,0.00E+00,7.09E-01,3.06E-01
1089,9321.129048,-4.00E-07,126351.9168,-2.75E-05,395033.1035,3.47E-05,1089,YES,Winston Hills_Timbergetters Reserve,1024030.72,-1.33E-02,-3.07E-01,1.81E-01
1090,4760.088232,0,66196.15626,1.90E-06,195714.8714,3.62E-05,1090,YES,Winston Hills_Reilleys Rd and Barnetts Rd,1043421.482,0.00E+00,2.16E-02,1.93E-01
1091,6340.888151,-1.00E-07,74144.81882,1.77E-06,173450.6038,-5.30E-06,1091,YES,Camellia_Station East,448880.337,-1.46E-03,8.66E-03,-1.21E-02
1092,3960.07888,-5.00E-07,17776.12566,-3.60E-06,94416.76371,-3.64E-06,1092,YES,Rosehill_Industrial Area_East,1770994.764,-2.88E-02,-6.95E-02,-3.29E-02
1093,96455.81372,-4.44E-06,332279.2568,4.50E-05,1227401.588,0,1093,YES,Rowland Hassall School,61157.20922,-8.82E-03,3.00E-02,0.00E+00
1095,91092.25404,3.89E-06,316106.7578,-3.44E-05,1160440.738,0,1095,YES,Parramatta_Marsden St and Great Western Highway,64701.47167,8.18E-03,-2.43E-02,0.00E+00
1096,4398.410905,-2.90E-07,53679.53622,-3.92E-06,259339.9004,-6.34E-06,1096,YES,Carlingford_Boundary Rd,171412.2607,-1.62E-03,-7.32E-03,-5.54E-03
1097,67483.72761,1.39E-06,229149.5015,-1.46E-05,1023423.477,0,1097,YES,Parramatta_Marsden St and Early St,97351.91617,4.40E-03,-1.55E-02,0.00E+00
1099,110121.1374,2.24E-05,357287.5481,-3.35E-05,1208211.254,0,1099,YES,Parramatta_Jubilee Park,95491.85684,6.95E-02,-3.49E-02,0.00E+00
1100,2858.844047,0,20073.29839,4.83E-06,239452.2754,-3.69E-05,1100,YES,Beecroft_Murray Farm Rd and Carawatha St,861609.9338,0.00E+00,4.54E-02,-1.62E-01
1101,3313.768105,2.00E-07,37876.70518,2.61E-06,672629.8347,-3.94E-05,1101,YES,Murray Farm Primary School,1486333.346,9.66E-03,4.23E-02,-2.99E-01
1102,8166.460181,4.20E-07,42206.31354,0,387467.8244,-4.69E-05,1102,YES,Carlingford High School,1217671.33,1.66E-02,0.00E+00,-2.91E-01
1103,5714.535434,4.10E-07,25472.49168,2.73E-06,253860.9287,-8.85E-06,1103,YES,Carlingford,1337648.604,1.78E-02,3.98E-02,-6.04E-02
1104,4171.538123,2.10E-07,31122.77547,2.31E-06,215535.1543,-4.78E-05,1104,YES,Carlingford_Harold West Reserve,426856.1791,2.91E-03,1.07E-02,-1.04E-01
1105,9285.778055,1.00E-08,153550.1055,-2.50E-07,538656.5357,-9.79E-06,1105,YES,Carlingford Court,887140.1746,2.88E-04,-2.42E-03,-4.43E-02
1106,9385.084807,-3.80E-07,100040.196,7.28E-06,342050.2021,-4.28E-05,1106,YES,Carlingford Station,261148.3033,-3.23E-03,2.07E-02,-5.70E-02
1107,8622.879541,0,71137.64748,6.20E-07,200528.5303,4.47E-05,1107,YES,Cumberland High School,1247402.861,0.00E+00,8.43E-03,2.84E-01
1108,10018.25797,-1.70E-06,102222.0378,-1.07E-05,341611.0206,-1.59E-05,1108,YES,Carlingford_Marshall Rd and Kenny Pl,582782.7705,-3.22E-02,-6.80E-02,-4.73E-02
1109,6878.788188,-8.00E-08,39455.94977,-4.53E-06,274536.3805,4.49E-06,1109,YES,Dundas Valley_Orchard St and Dunlop St,777919.2455,-2.02E-03,-3.84E-02,1.78E-02
1110,9535.373085,-3.80E-07,87366.24503,1.38E-06,325477.1832,-2.32E-05,1110,YES,Telopea_Calangara Park,166103.3829,-2.05E-03,2.50E-03,-1.97E-02
1111,22162.80663,-4.93E-06,105768.3235,2.94E-05,278349.6205,3.58E-05,1111,YES,Dundas Station East,254691.6465,-4.08E-02,8.16E-02,4.65E-02
1112,37917.46775,9.70E-07,112609.9611,-1.15E-06,280567.9407,3.52E-05,1112,YES,Dundas Station West,163567.3107,5.16E-03,-2.05E-03,2.94E-02
1113,4740.53224,-1.00E-08,64926.03691,1.86E-06,222606.227,3.79E-05,1113,YES,Lottie Stewart Hospital,495355.4465,-1.61E-04,1.00E-02,9.57E-02
1114,2062.052122,4.60E-07,62343.52982,-2.45E-06,149140.2995,5.00E-08,1114,YES,St Patricks Marist College,973869.2202,1.46E-02,-2.60E-02,2.48E-04
1115,3286.241498,0,56081.41762,3.95E-06,236506.8748,-2.52E-05,1115,YES,Ermington_Cowells Lane Reserve,713824.8106,0.00E+00,3.07E-02,-9.17E-02
1116,8834.240905,6.00E-08,87800.19343,1.85E-06,218257.7438,3.93E-05,1116,YES,Dundas,673736.2804,1.31E-03,1.36E-02,1.35E-01
1117,24336.30355,-1.54E-06,90639.54348,-1.46E-06,251622.3281,4.91E-05,1117,YES,Western Sydney Parramatta Campus,220777.2959,-1.10E-02,-3.51E-03,5.53E-02
1118,12532.6527,-3.60E-06,98635.01656,-4.85E-06,305816.8342,-3.22E-05,1118,YES,Ermington,848060.5514,-9.92E-02,-4.48E-02,-1.39E-01
1119,37904.54345,1.46E-06,107017.3871,-3.07E-05,271951.8034,3.86E-05,1119,YES,Dundas_Macquarie Boys High School,258575.3868,1.23E-02,-8.65E-02,5.09E-02
1120,20516.30472,2.46E-06,87923.73065,0,242043.3684,2.22E-05,1120,YES,Rydalmere Industrial Estate South,614928.4332,4.92E-02,0.00E+00,6.96E-02
1121,7611.5158,0,75258.76386,3.74E-06,256712.9612,-2.09E-06,1121,YES,Reckitt Benckiser,827575.1459,0.00E+00,3.37E-02,-8.82E-03
1122,35611.10701,-1.04E-06,129584.6212,-4.88E-05,293318.9197,4.57E-05,1122,YES,Rydalmere John St Ferry Wharf,1264649.405,-4.27E-02,-6.73E-01,2.95E-01
1123,16808.37468,2.40E-06,110849.8861,3.26E-05,287088.643,-4.75E-05,1123,YES,George Kendall Riverside Reserve,1073452.17,8.37E-02,3.81E-01,-2.60E-01
1124,14467.78724,0,103710.4455,-3.10E-05,225589.7727,3.03E-05,1124,YES,Ermington_River Rd and Lindsay Ave,644257.6887,0.00E+00,-2.18E-01,9.96E-02
1125,44116.57684,-4.40E-07,141197.7925,1.22E-05,376716.483,-3.96E-05,1125,YES,Rydalmere Industrial Estate East,584183.3444,-8.35E-03,7.77E-02,-1.18E-01
1126,59556.80157,2.06E-06,142066.2321,3.86E-05,355246.4419,-3.98E-05,1126,YES,Rydalmere Station East,236775.7212,1.59E-02,9.96E-02,-4.81E-02
1127,2564.833352,-1.00E-07,64992.54807,4.87E-06,137788.3874,-1.34E-05,1127,YES,Oatlands,609804.9026,-1.98E-03,3.24E-02,-4.17E-02
1128,3247.124428,1.60E-07,72558.69232,1.76E-06,221642.6338,4.83E-05,1128,YES,Dundas Valley,632383.186,3.29E-03,1.21E-02,1.56E-01
1129,6298.627344,8.00E-08,76408.2592,-3.14E-06,169744.8283,3.48E-05,1129,YES,Telopea,507752.8274,1.32E-03,-1.74E-02,9.01E-02
1130,2332.056438,4.90E-07,35812.4798,-1.30E-07,238329.0845,0,1130,YES,Allowah Childrens Hospital,626942.1729,9.98E-03,-8.88E-04,0.00E+00
1131,9792.15593,-3.40E-07,85812.12992,4.56E-06,259031.5469,0,1131,YES,Telopea Station,506293.2813,-5.59E-03,2.52E-02,0.00E+00
1132,2487.942812,-2.00E-07,73495.44144,-2.21E-06,144671.0271,2.87E-05,1132,YES,Burnside Shopping Centre,1258060.338,-8.18E-03,-3.03E-02,1.84E-01
1133,2417.141317,-4.10E-07,53453.35518,2.56E-06,210920.5138,2.01E-06,1133,YES,Dundas_Quarry Rd and Fullford St,281709.1924,-3.75E-03,7.86E-03,2.89E-03
1134,5896.81489,0,70110.75688,3.45E-06,166058.6837,-1.28E-05,1134,YES,Oatlands Golf Course_Dundas Station,1206728.808,0.00E+00,4.54E-02,-7.88E-02
1135,3439.528722,-4.40E-07,82401.4542,-1.34E-06,191142.5763,-2.25E-05,1135,YES,Telopea East,435523.1243,-6.23E-03,-6.36E-03,-5.00E-02
1198,4512.206812,-4.90E-07,75415.04213,-3.72E-06,244201.3785,-1.75E-05,1198,YES,James Ruse Agricultural High School,303906.4397,-4.84E-03,-1.23E-02,-2.71E-02
1200,6384.634456,2.00E-07,32088.84717,-1.40E-07,127901.3316,2.09E-05,1200,YES,Villawood Detention Centre,1311184.578,8.52E-03,-2.00E-03,1.40E-01
1201,8751.678443,3.00E-07,44904.67458,-2.89E-06,202901.5183,0,1201,YES,Chester Hill_Elliston St and Hector St,601066.5233,5.86E-03,-1.89E-02,0.00E+00
1202,6898.31669,-2.00E-07,44162.81009,-2.95E-06,177797.4741,-4.10E-05,1202,YES,Leightonfield Station_North,793173.3439,-5.16E-03,-2.55E-02,-1.66E-01
1203,9068.827733,1.00E-07,51354.56639,1.22E-06,238309.9797,-2.87E-05,1203,YES,Chester Hill Station_North,710739.4978,2.31E-03,9.45E-03,-1.04E-01
1204,5858.373285,-1.00E-07,47565.42098,2.87E-06,219133.5765,-2.82E-05,1204,YES,Sefton Station_North,660894.7369,-2.15E-03,2.07E-02,-9.50E-02
1205,5523.004273,-3.00E-07,40585.77689,-3.75E-06,142472.9696,-3.85E-05,1205,YES,Villawood Industrial Area_Southern End_Leighton Station,1111920.462,-1.08E-02,-4.54E-02,-2.18E-01
1206,8510.359244,-4.00E-07,45599.16744,-8.85E-07,198553.2294,-2.03E-05,1206,YES,Chester Hill Station_South,894126.3127,-1.16E-02,-8.63E-03,-9.26E-02
1207,5891.850944,3.00E-07,38887.37343,-1.03E-06,146636.4311,-3.41E-05,1207,YES,Sefton Station_South,1170813.442,1.14E-02,-1.31E-02,-2.04E-01
1209,21139.26415,3.58E-06,119479.8464,1.87E-06,369100.5113,-2.12E-05,1209,YES,Rosehill_Sydney Speedway,241870.6551,2.81E-02,4.93E-03,-2.62E-02
1210,12754.41902,-2.50E-06,58080.22786,1.97E-06,206194.0336,3.02E-05,1210,YES,Yennora Station_South,1493731.68,-1.21E-01,3.21E-02,2.30E-01
1211,7213.629725,3.00E-07,40436.7783,-4.88E-06,165776.2097,2.00E-05,1211,YES,Fairfield East Industrial Area,984408.9671,9.60E-03,-5.24E-02,1.00E-01
1212,9175.137755,-4.00E-07,45103.27661,5.25E-07,166904.5529,-4.24E-05,1212,YES,Fairfield East,749667.6857,-9.75E-03,4.29E-03,-1.62E-01
1213,11123.22132,4.90E-06,53151.43842,-1.59E-06,192940.5975,-1.75E-05,1213,YES,Villawood Station,346860.2107,5.52E-02,-6.01E-03,-3.10E-02
1214,9005.573159,0,45152.07138,-2.75E-06,189498.0791,-1.16E-05,1214,YES,Villawood North Pub School,482442.6965,0.00E+00,-1.45E-02,-2.85E-02
1215,15796.75201,1.00E-06,63402.90731,-1.52E-06,203135.5147,3.83E-05,1215,YES,Villawood_Bunnings,142861.045,4.64E-03,-2.37E-03,2.79E-02
1216,7462.540674,0,61736.46385,-7.75E-07,212063.1658,-2.12E-05,1216,YES,Carramar Station,1015522.327,0.00E+00,-8.58E-03,-1.10E-01
1217,2952.130525,0,37239.22539,4.85E-07,126087.8688,1.98E-05,1217,YES,Carramar Pub School,485837.7939,0.00E+00,2.57E-03,4.91E-02
1218,38363.11988,1.58E-06,172981.6476,-1.97E-05,481627.0684,0,1218,YES,Rosehill_Grey St,375883.818,1.93E-02,-8.07E-02,0.00E+00
1219,40949.62802,4.48E-06,178480.3539,-1.05E-05,516858.76,0,1219,YES,Granville_Albert St,209311.5878,3.05E-02,-2.40E-02,0.00E+00
1220,83899.61117,0,281654.4076,-1.98E-05,1076215.319,2403.939688,1220,YES,Granville Station_North,144455.0204,0.00E+00,-3.12E-02,1.77E+06
1221,22570.80475,-1.34E-06,142104.366,-3.47E-05,411558.5191,-4.74E-05,1221,YES,Granville_Walter St and Daniel St,233892.9244,-1.02E-02,-8.85E-02,-5.65E-02
1222,52437.80032,-2.20E-07,223530.3877,-3.04E-05,831388.856,0,1222,YES,Clyde Station_North,428584.5728,-3.06E-03,-1.42E-01,0.00E+00
1223,13862.52152,2.96E-06,113910.6604,3.68E-05,330086.8615,0,1223,YES,Granville_William St and Carhullen St,431573.8227,4.15E-02,1.73E-01,0.00E+00
1224,83605.74601,4.24E-06,274926.568,-4.60E-05,1054049.699,0,1224,YES,Granville Station_South,298347.5555,4.11E-02,-1.50E-01,0.00E+00
1225,12840.07483,6.00E-08,104497.5563,4.27E-06,301592.235,-8.10E-06,1225,YES,TAFE Sw Granville College,302276.9702,5.89E-04,1.41E-02,-1.25E-02
1226,31613.47319,3.44E-06,172935.8268,1.02E-05,593971.3408,0,1226,YES,Granville,497979.2901,5.57E-02,5.54E-02,0.00E+00
1227,33025.85571,-2.12E-06,198751.2456,-4.05E-05,863222.882,0,1227,YES,Clyde Station_South,159668.1268,-1.10E-02,-7.05E-02,0.00E+00
1228,30063.89851,-4.23E-06,185199.7314,1.96E-05,509231.1938,0,1228,YES,Merrylands Station_East,422833.2964,-5.81E-02,9.03E-02,0.00E+00
1229,7326.472346,-2.30E-07,81230.50468,6.50E-08,248645.3731,0,1229,YES,Merrylands_Bertha St and Ethel St,415386.7609,-3.11E-03,2.94E-04,0.00E+00
1230,10633.46507,-3.74E-06,105754.6743,4.17E-05,346418.4386,-3.41E-05,1230,YES,Granville_The Trongate and Membrey St,501063.7024,-6.09E-02,2.28E-01,-8.71E-02
1231,7875.001379,3.60E-07,87452.64311,1.89E-06,268386.273,-4.22E-05,1231,YES,Merrylands_Excelsior St and Lisgar St,935248.3585,1.09E-02,1.93E-02,-2.01E-01
1234,3537.95825,1.07E-08,55722.7084,4.05E-06,169442.6195,0,1234,YES,Pemulwuy North,607064.4435,2.11E-04,2.68E-02,0.00E+00
1235,1722.022844,-4.60E-07,45779.86708,-3.46E-06,168622.4098,0,1235,YES,Greystanes High School,610348.6908,-9.12E-03,-2.30E-02,0.00E+00
1236,2750.615538,1.40E-07,36987.30317,-4.16E-06,156636.4631,0,1236,YES,Beresford Road Primary,680977.1752,3.10E-03,-3.09E-02,0.00E+00
1237,3831.934982,3.30E-07,76492.92002,1.63E-06,215540.4762,0,1237,YES,Greystanes_Wattle St and Gregory St,338418.3518,3.63E-03,6.01E-03,0.00E+00
