num_opportunities,EMP_2016,,
903,1060347.902632342,1035527.177728172,24820.7249
904,1354388.484408367,1337769.457205497,16619.0272
905,945536.4387,938553.0942,6983.344474
906,957761.003,950777.6585555921,6983.344474
907,850949.7839,850949.7839,0
910,1489634.631605859,1428102.711950409,61531.91966
911,1207650.198214792,1125769.873653322,81880.32456
912,1084673.927796142,996420.545,88253.38276
913,1565599.032314709,1519684.937169319,45914.09515
914,1176977.261174262,1111152.262172392,65824.999
915,1479607.718772819,1448800.434728229,30807.28404
916,1118235.281381952,1092017.107156982,26218.17422
917,1422496.040063344,1391249.885386974,31246.15468
918,1276558.019881717,1249123.142258547,27434.87762
919,1087610.117630792,1070223.857565122,17386.26007
920,1208155.388371092,1146374.393537722,61780.99483
921,1319749.596657784,1303515.592976614,16234.00368
922,1204492.610674372,1148955.084452202,55537.52622
924,1068738.780188862,1053112.876423862,15625.90376
925,801317.5124,801317.5124,0
926,860606.9379,860606.9379,0
927,995800.2779,988816.9335,6983.344474
928,961088.9616,955232.7792,5856.182403
931,975051.1322,955253.1488,19797.98342
932,945167.0112,929140.0970277321,16026.91413
933,979254.3593,972190.1277,7064.231527
934,910705.2814,885476.0545,25229.22683
935,902859.163,891482.4322,11376.73079
936,886593.6853,884459.3141,2134.371196
939,1319720.924230672,1311662.708151902,8058.216079
940,996337.4823,981646.1721,14691.31012
941,1014431.640106142,999740.33,14691.31012
942,885693.0747,885693.0747,0
943,862752.4467,862752.4467,0
944,1013667.0362284121,997943.1856,15723.8506
945,1009043.223935022,994351.9138,14691.31012
946,1024530.276840012,1008806.426241942,15723.8506
949,949115.9336,849270.1962,99845.73739
950,1260506.367637282,1164343.020655162,96163.34698
951,1102551.111009542,1028496.305043172,74054.80597
952,1306597.606722962,1295351.901540692,11245.70518
953,1335269.161087082,1327212.416407412,8056.74468
954,1139265.548820342,1127839.700730172,11425.84809
955,980853.1549,973869.8104,6983.344474
958,1101301.814302082,1064765.734599412,36536.0797
959,297537.6877,263611.6973,33925.99046
960,731473.4484,731473.4484,0
961,1042154.722814825,1041492.760546625,661.9622682
962,876460.8948,876460.8948,0
963,1352933.515392754,1339829.705699784,13103.80969
964,1237293.967256497,1229459.705376097,7834.26188
