num_opportunities,EMP_2016,,,,
278,306867.4986,698.7010337,306168.7976,77731.7034,228437.0942
279,671562.2201,14226.62242,657335.5977,418131.7953,239203.8024
280,266129.65507685003,223.7873768,265905.8677,62849.98267,203055.8851
281,509004.2212,-2.068E-05,509004.2212,140439.4526,368564.7686
282,81728.77031,3.99988E-07,81728.77031,48231.63153,33497.13878
283,393149.3005,4.96E-05,393149.3005,164759.8951,228389.4055
284,442671.6649,1.432E-05,442671.6649,170373.0402,272298.6248
285,261335.7645,-4.613E-05,261335.7645,106466.5851,154869.1793
286,39230.60469,4.91E-06,39230.60469,39230.60469,0
287,104611.0742,1.333E-05,104611.0742,76483.9238,28127.15041
288,50830.04846,2.73E-06,50830.04846,50830.04846,0
289,59251.54303,5856.182398,53395.36063,53395.36063,0
290,57953.25902,13862.1074,44091.15162,44091.15162,0
291,638296.4063,6463.411355,631832.9949,463595.0517,168237.9432
292,576314.5383,-1.358E-05,576314.5383,281518.7987,294795.7395
300,25263.13872,-2.39E-06,25263.13872,25263.13872,0
301,20851.82179,2.93E-06,20851.82179,20851.82179,0
302,14496.32708,4.70001E-07,14496.32708,14496.32708,0
303,16122.91254,-5E-06,16122.91254,16122.91254,0
304,21193.46857,2.7E-07,21193.46857,21193.46857,0
305,73922.60948,4.46E-06,73922.60948,73922.60948,0
306,20887.55254,-4.93E-06,20887.55254,20887.55254,0
307,30888.99394,2.87E-06,30888.99394,30888.99394,0
308,19264.17484,3.97E-06,19264.17484,19264.17484,0
309,256002.701,-2.151E-05,256002.701,256002.701,0
310,29906.873639870002,0,29906.873639870002,29906.873639870002,0
311,7270.880442,4.7E-07,7270.880442,7270.880442,0
312,14554.317494660001,0,14554.317494660001,14554.317494660001,0
313,11895.20034,-2.68E-06,11895.20034,11895.20034,0
314,30385.61311,-2.83E-06,30385.61311,30385.61311,0
315,31507.61984,5.70002E-07,31507.61984,31507.61984,0
316,104723.3136,4.061E-05,104723.3136,104723.3136,0
317,90548.71812,1.45999E-06,90548.71812,90548.71812,0
318,47831.80019,-2.98E-06,47831.80019,47831.80019,0
319,218715.7907,3.794E-05,218715.7907,218715.7907,0
320,160509.5276,-3.906E-05,160509.5276,160509.5276,0
321,65962.60533,-1.01E-06,65962.60533,65962.60533,0
322,89531.0666,4.53999E-06,89531.0666,89531.0666,0
323,36114.40707,4.67E-06,36114.40707,36114.40707,0
324,35578.62807,-2.6E-06,35578.62807,35578.62807,0
325,59216.21395,-4.78E-06,59216.21395,59216.21395,0
328,158034.2379,4.194E-05,158034.2379,158034.2379,0
329,52240.83568,-7.79997E-07,52240.83568,52240.83568,0
330,38419.66621,-4.3E-06,38419.66621,38419.66621,0
331,294206.0408,-3.513E-05,294206.0408,294206.0408,0
332,27103.115869100002,0,27103.115869100002,27103.115869100002,0
333,63427.68091,-2.58E-06,63427.68091,63427.68091,0
334,1324.564465,0,1324.564465,1324.564465,0
400,9822.437832,4.00001E-07,9822.437832,9822.437832,0
401,11972.640916600001,0,11972.640916600001,11972.640916600001,0
402,12743.61847,-1.6E-06,12743.61847,12743.61847,0
405,14869.95719,3.4E-06,14869.95719,14869.95719,0
406,18489.89656,3.2E-06,18489.89656,18489.89656,0
407,15947.49975,9.99989E-08,15947.49975,15947.49975,0
408,30654.99284,2.00002E-07,30654.99284,30654.99284,0
409,60449.3925,-2.69E-06,60449.3925,60449.3925,0
